S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
0,2022-06-01 06:43:00,C13470461157,0,,Season         ,$0.00 ,2022-06-01 17:21:00
1,2022-06-01 07:23:00,C13471728958,0,,               ,$0.00 ,2022-06-01 16:50:00
2,2022-06-01 07:33:00,C13475420908,0,,Season         ,$0.00 ,2022-06-01 18:47:00
3,2022-06-01 07:49:00,C13471356018,0,,               ,$0.00 ,2022-06-01 13:45:00
4,2022-06-01 07:55:00,C13475456517,0,,Hourly         ,$0.00 ,2022-06-01 16:58:00
5,2022-06-01 07:59:00,C13473545552,0,,Hourly         ,$0.00 ,2022-06-01 16:00:00
6,2022-06-01 08:01:00,C13473597394,1.11E+15,,Hourly         ,$8.36 ,2022-06-01 11:23:00
7,2022-06-01 08:02:00,C13566348834,0,,               ,$0.00 ,2022-06-01 21:35:00
8,2022-06-01 08:03:00,C13471891516,0,,Season         ,$0.00 ,2022-06-01 18:59:00
9,2022-06-01 08:04:00,C13474691731,0,,               ,$0.00 ,2022-06-01 17:38:00
10,2022-06-01 08:04:00,C13474601064,0,,Season         ,$0.00 ,2022-06-01 17:30:00
11,2022-06-01 08:09:00,C13473875148,0,,Season         ,$0.00 ,2022-06-01 17:29:00
12,2022-06-01 08:09:00,C13374701517,0,,               ,$0.00 ,2022-06-01 16:05:00
13,2022-06-01 08:14:00,C13472907504,0,,Season         ,$0.00 ,2022-06-01 18:05:00
14,2022-06-01 08:18:00,C13473144081,0,,Season         ,$0.00 ,2022-06-01 19:09:00
15,2022-06-01 08:20:00,C13472444959,0,,Season         ,$0.00 ,2022-06-01 18:49:00
16,2022-06-01 08:24:00,C13472281179,0,,Season         ,$0.00 ,2022-06-01 18:25:00
18,2022-06-01 08:36:00,C13469870746,0,,Hourly         ,$0.00 ,2022-06-01 18:18:00
19,2022-06-01 08:36:00,C13474693365,0,,Season         ,$0.00 ,2022-06-01 17:36:00
17,2022-06-01 08:36:00,C13566474525,0,,Season         ,$0.00 ,2022-06-01 17:45:00
20,2022-06-01 08:41:00,C13473275430,0,,Season         ,$0.00 ,2022-06-01 18:06:00
21,2022-06-01 08:43:00,C13566533264,0,,Season         ,$0.00 ,2022-06-01 18:01:00
22,2022-06-01 08:43:00,C13471638926,0,,               ,$0.00 ,2022-06-01 18:00:00
23,2022-06-01 08:44:00,C13473210056,0,,Season         ,$0.00 ,2022-06-01 12:24:00
24,2022-06-01 08:44:00,C13471773724,0,,               ,$0.00 ,2022-06-01 18:20:00
25,2022-06-01 08:49:00,C13474821932,0,,Season         ,$0.00 ,2022-06-01 19:16:00
26,2022-06-01 08:54:00,C13471054099,0,,Season         ,$0.00 ,2022-06-01 18:39:00
27,2022-06-01 08:59:00,C13472983023,0,,Season         ,$0.00 ,2022-06-01 13:23:00
29,2022-06-01 09:04:00,C13467801561,1.11E+15,,Hourly         ,$7.34 ,2022-06-01 11:53:00
28,2022-06-01 09:04:00,C13469137501,0,,Season         ,$0.00 ,2022-06-01 17:34:00
30,2022-06-01 09:06:00,C13472299008,0,,Season         ,$0.00 ,2022-06-01 22:46:00
31,2022-06-01 09:12:00,C13474017112,0,,Season         ,$0.00 ,2022-06-01 17:54:00
32,2022-06-01 09:16:00,C13475514638,0,,Season         ,$0.00 ,2022-06-01 12:31:00
33,2022-06-01 09:17:00,C13474114661,0,,Season         ,$0.00 ,2022-06-01 18:46:00
34,2022-06-01 09:24:00,C13474484765,0,,Season         ,$0.00 ,2022-06-01 18:05:00
35,2022-06-01 09:26:00,C13472504781,0,,Hourly         ,$0.00 ,2022-06-01 17:35:00
36,2022-06-01 09:28:00,C13471671086,0,,Hourly         ,$0.00 ,2022-06-01 16:27:00
37,2022-06-01 09:30:00,C13565808591,0,,Season         ,$0.00 ,2022-06-01 16:47:00
39,2022-06-01 09:41:00,C13474802710,0,,Season         ,$0.00 ,2022-06-01 12:03:00
38,2022-06-01 09:41:00,C13471307441,0,,Hourly         ,$0.00 ,
40,2022-06-01 09:42:00,C13388938526,1.11E+15,,Hourly         ,$2.76 ,2022-06-09 11:47:00
42,2022-06-01 09:51:00,C13470272306,0,,Season         ,$0.00 ,2022-06-01 13:31:00
43,2022-06-01 10:01:00,C13469679854,1.11E+15,,Hourly         ,$6.76 ,2022-06-01 12:27:00
44,2022-06-01 10:11:00,C13388594434,1.11E+15,,Hourly         ,$0.56 ,2022-06-01 10:25:00
45,2022-06-01 10:13:00,C13472456098,0,,Season         ,$0.00 ,2022-06-01 17:59:00
46,2022-06-01 10:15:00,C13470639398,1.11E+15,,Hourly         ,$5.25 ,2022-06-01 12:08:00
48,2022-06-01 10:25:00,C13388696510,0,,Hourly         ,$0.00 ,2022-06-01 10:33:00
51,2022-06-01 11:37:00,C13470650172,0,,Season         ,$0.00 ,2022-06-01 17:28:00
58,2022-06-01 13:02:00,C13474802710,0,,Season         ,$0.00 ,2022-06-01 19:26:00
