S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
59,2022-06-01 13:05:00,C13475577446,1.11E+15,,Hourly         ,$4.59 ,2022-06-01 14:45:00
60,2022-06-01 13:13:00,C13475592632,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 13:54:00
61,2022-06-01 13:17:00,C13469963689,1.11E+15,,Hourly         ,$1.70 ,2022-06-01 13:51:00
64,2022-06-01 13:35:00,C13473210056,0,,Season         ,$0.00 ,2022-06-01 19:47:00
65,2022-06-01 13:41:00,C13473787109,0,,Season         ,$0.00 ,2022-06-01 14:23:00
67,2022-06-01 13:46:00,C13472894509,1.11E+15,,Hourly         ,$8.74 ,2022-06-01 17:20:00
70,2022-06-01 14:02:00,C13473770570,0,,Season         ,$0.00 ,2022-06-01 16:24:00
71,2022-06-01 14:03:00,C13473730417,1.11E+15,,Hourly         ,$5.84 ,2022-06-01 16:28:00
72,2022-06-01 14:12:00,C13388714710,1.11E+15,,Hourly         ,$1.56 ,2022-06-01 14:51:00
73,2022-06-01 14:16:00,C13473597394,1.11E+15,,Hourly         ,$2.96 ,2022-06-01 15:29:00
75,2022-06-01 14:43:00,C13475514638,0,,Season         ,$0.00 ,2022-06-01 18:52:00
78,2022-06-01 15:06:00,C13472983023,0,,Season         ,$0.00 ,2022-06-01 18:38:00
82,2022-06-01 16:06:00,C13388823832,1.11E+15,,Hourly         ,$0.52 ,2022-06-01 16:19:00
84,2022-06-01 16:19:00,C13473037723,1.11E+15,,Hourly         ,$7.04 ,2022-06-01 19:00:00
87,2022-06-01 16:28:00,C13388826909,0,,Hourly         ,$2.36 ,2022-06-01 17:27:00
89,2022-06-01 16:38:00,C13066576112,0,,Season         ,$0.00 ,2022-06-01 16:39:00
93,2022-06-01 16:49:00,C13066576112,0,,Season         ,$0.00 ,2022-06-01 16:49:00
97,2022-06-01 16:59:00,C13475457763,1.11E+15,,               ,$1.01 ,2022-06-01 17:35:00
98,2022-06-01 17:03:00,C13473292489,1.00E+15,,Hourly         ,$5.28 ,2022-06-01 19:35:00
99,2022-06-01 17:08:00,C13473587956,1.11E+15,,               ,$3.56 ,2022-06-01 21:59:00
103,2022-06-01 17:27:00,C13471710898,1.11E+15,,Hourly         ,$4.32 ,2022-06-01 18:45:00
106,2022-06-01 17:30:00,C13468343612,0,,Season         ,$0.00 ,2022-06-01 17:41:00
122,2022-06-01 18:13:00,C13466988802,0,,Hourly         ,$0.00 ,
123,2022-06-01 18:17:00,C13470650172,0,,Season         ,$0.00 ,2022-06-03 10:47:00
124,2022-06-01 18:17:00,C13474571374,0,,Hourly         ,$0.00 ,2022-06-01 18:19:00
131,2022-06-01 18:40:00,C13468051791,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:35:00
132,2022-06-01 18:42:00,C13471668752,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:35:00
134,2022-06-01 18:46:00,C13472288747,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:53:00
139,2022-06-01 18:57:00,C13474181905,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:12:00
140,2022-06-01 18:57:00,C13474496752,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:22:00
141,2022-06-01 18:59:00,C13472829994,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:41:00
144,2022-06-01 19:03:00,C13566297280,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 19:46:00
148,2022-06-01 19:28:00,C13475050911,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:56:00
150,2022-06-01 19:38:00,C13468424602,1.11E+15,,Hourly         ,$3.70 ,2022-06-02 00:13:00
151,2022-06-01 19:41:00,C13471684909,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:50:00
152,2022-06-01 19:42:00,C13472186420,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:35:00
153,2022-06-01 19:43:00,C13468910783,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:31:00
156,2022-06-01 19:50:00,C13475543940,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:55:00
157,2022-06-01 19:53:00,C13471366554,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:18:00
158,2022-06-01 20:01:00,C13472551393,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:03:00
159,2022-06-01 20:44:00,C13473069270,1.11E+15,,Hourly         ,$33.05 ,2022-06-02 11:00:00
160,2022-06-01 20:57:00,C13388826909,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:39:00
161,2022-06-01 21:02:00,C13566002960,1.11E+15,,Hourly         ,$3.15 ,2022-06-02 00:02:00
162,2022-06-01 21:08:00,C13472682013,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:51:00
163,2022-06-01 21:12:00,C13475316258,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:31:00
164,2022-06-01 21:22:00,C13060640493,1.11E+15,,Hourly         ,$1.50 ,2022-06-01 21:34:00
187,2022-06-02 07:24:00,C13565788362,0,,Season         ,$0.00 ,2022-06-02 17:58:00
188,2022-06-02 07:28:00,C13565903053,0,,Season         ,$0.00 ,2022-06-02 12:17:00
189,2022-06-02 07:32:00,C13474601064,0,,Season         ,$0.00 ,2022-06-02 17:20:00
190,2022-06-02 07:33:00,C13475529561,0,,Season         ,$0.00 ,2022-06-02 17:35:00
191,2022-06-02 07:35:00,C13474691731,0,,               ,$0.00 ,2022-06-02 17:38:00
192,2022-06-02 07:38:00,C13473816851,0,,Season         ,$0.00 ,2022-06-02 17:16:00
193,2022-06-02 07:40:00,C13566121918,0,,Season         ,$0.00 ,2022-06-02 17:19:00
194,2022-06-02 07:47:00,C13475104116,0,,Season         ,$0.00 ,2022-06-02 22:00:00
195,2022-06-02 07:48:00,C13566352539,0,,Season         ,$0.00 ,2022-06-02 17:54:00
196,2022-06-02 07:49:00,C13475420908,0,,Season         ,$0.00 ,2022-06-02 18:45:00
197,2022-06-02 08:02:00,C13471891516,0,,Season         ,$0.00 ,2022-06-02 18:47:00
198,2022-06-02 08:09:00,C13472907504,0,,Season         ,$0.00 ,2022-06-02 18:09:00
199,2022-06-02 08:13:00,C13470818099,0,,Season         ,$0.00 ,2022-06-02 12:27:00
200,2022-06-02 08:16:00,C13374832221,0,,Hourly         ,$0.00 ,2022-06-02 17:40:00
201,2022-06-02 08:22:00,C13566293767,0,,Season         ,$0.00 ,2022-06-02 18:13:00
202,2022-06-02 08:28:00,C13472990276,0,,Season         ,$0.00 ,2022-06-02 17:53:00
203,2022-06-02 08:30:00,C13472444959,0,,Season         ,$0.00 ,2022-06-02 18:19:00
204,2022-06-02 08:32:00,C13472559297,0,,Season         ,$0.00 ,2022-06-02 16:23:00
205,2022-06-02 08:33:00,C13474995026,1.11E+15,,Hourly         ,$11.88 ,2022-06-02 12:59:00
206,2022-06-02 08:39:00,C13472983023,0,,Season         ,$0.00 ,2022-06-02 16:08:00
207,2022-06-02 08:41:00,C13474577908,0,,Season         ,$0.00 ,2022-06-02 18:47:00
208,2022-06-02 08:43:00,C13474648173,0,,Season         ,$0.00 ,2022-06-02 18:27:00
209,2022-06-02 08:43:00,C13471773724,0,,               ,$0.00 ,2022-06-02 18:03:00
210,2022-06-02 08:44:00,C13469870746,0,,Hourly         ,$0.00 ,2022-06-02 18:37:00
211,2022-06-02 08:46:00,C13566348834,0,,               ,$0.00 ,2022-06-02 23:14:00
213,2022-06-02 08:49:00,C13474821932,0,,Season         ,$0.00 ,2022-06-02 18:26:00
212,2022-06-02 08:49:00,C13473210056,0,,Season         ,$0.00 ,2022-06-02 18:14:00
214,2022-06-02 08:53:00,C13474017112,0,,Season         ,$0.00 ,2022-06-02 17:56:00
215,2022-06-02 08:56:00,C13471054099,0,,Season         ,$0.00 ,2022-06-02 12:23:00
216,2022-06-02 09:01:00,C13472450116,0,,Hourly         ,$0.00 ,2022-06-02 18:40:00
217,2022-06-02 09:02:00,C13474693365,0,,Season         ,$0.00 ,2022-06-02 19:36:00
218,2022-06-02 09:12:00,C13566091244,0,,Season         ,$0.00 ,2022-06-02 18:08:00
219,2022-06-02 09:14:00,C13473275430,0,,Season         ,$0.00 ,2022-06-02 18:44:00
220,2022-06-02 09:18:00,C13473417907,1.11E+15,,Hourly         ,$25.68 ,2022-06-02 18:57:00
221,2022-06-02 09:23:00,C13472456098,0,,Season         ,$0.00 ,2022-06-02 18:26:00
223,2022-06-02 09:31:00,C13472504781,0,,Hourly         ,$0.00 ,2022-06-02 17:49:00
222,2022-06-02 09:31:00,C13474437302,0,,Season         ,$0.00 ,2022-06-02 12:21:00
224,2022-06-02 09:35:00,C13470688219,0,,Season         ,$0.00 ,2022-06-02 17:20:00
225,2022-06-02 09:39:00,C13473500827,0,,Season         ,$0.00 ,2022-06-02 09:44:00
226,2022-06-02 09:40:00,C13474503499,0,,Season         ,$0.00 ,2022-06-02 14:17:00
227,2022-06-02 09:41:00,C13474802710,0,,Season         ,$0.00 ,2022-06-02 19:26:00
228,2022-06-02 09:44:00,C13474772119,1.11E+15,,Hourly         ,$21.16 ,2022-06-02 17:47:00
230,2022-06-02 09:46:00,C13472313330,0,,Season         ,$0.00 ,2022-06-02 20:33:00
231,2022-06-02 10:03:00,C13468343612,0,,Season         ,$0.00 ,2022-06-02 10:23:00
232,2022-06-02 10:20:00,C13473532812,1.11E+15,,Hourly         ,$9.20 ,2022-06-02 13:31:00
234,2022-06-02 10:32:00,C13388260209,1.00E+15,,Hourly         ,$16.36 ,2022-06-02 16:35:00
235,2022-06-02 10:45:00,C13473132573,0,,Season         ,$0.00 ,2022-06-02 15:25:00
236,2022-06-02 10:59:00,C13565759760,1.11E+15,,Hourly         ,$5.89 ,2022-06-02 12:56:00
238,2022-06-02 11:01:00,C13472759748,1.11E+15,,Hourly         ,$1.95 ,2022-06-02 11:40:00
239,2022-06-02 11:10:00,C13388626544,0,,Hourly         ,$0.00 ,2022-06-02 11:18:00
240,2022-06-02 11:18:00,C13472167175,1.11E+15,,Hourly         ,$8.50 ,2022-06-02 14:09:00
242,2022-06-02 11:23:00,C13566568386,1.11E+15,,Hourly         ,$1.40 ,2022-06-02 11:50:00
243,2022-06-02 11:25:00,C13565748110,1.00E+15,,Hourly         ,$11.39 ,2022-06-02 15:30:00
244,2022-06-02 11:27:00,C13473743880,1.11E+15,,Hourly         ,$9.33 ,2022-06-02 14:41:00
246,2022-06-02 11:40:00,C13566204690,1.11E+15,,Hourly         ,$8.44 ,2022-06-02 14:35:00
247,2022-06-02 11:41:00,C13467591194,1.11E+15,,Hourly         ,$8.63 ,2022-06-02 14:41:00
248,2022-06-02 11:43:00,C13471820434,1.11E+15,,Hourly         ,$10.49 ,2022-06-02 15:30:00
249,2022-06-02 11:47:00,C13565929355,1.11E+15,,Hourly         ,$8.45 ,2022-06-02 14:44:00
251,2022-06-02 11:59:00,C13467427368,1.11E+15,,Hourly         ,$7.01 ,2022-06-02 14:23:00
252,2022-06-02 12:10:00,C13565808591,0,,Season         ,$0.00 ,2022-06-02 14:28:00
257,2022-06-02 12:31:00,C13473985482,0,,Season         ,$0.00 ,2022-06-02 13:23:00
258,2022-06-02 12:50:00,C13896009471,1.11E+15,,Hourly         ,$4.58 ,2022-06-02 14:26:00
261,2022-06-02 13:18:00,C13473880953,0,,Season         ,$0.00 ,2022-06-02 16:55:00
264,2022-06-02 13:40:00,C13472444101,1.11E+15,,Hourly         ,$1.44 ,2022-06-02 14:10:00
265,2022-06-02 13:43:00,C13473827115,1.11E+15,,Hourly         ,$8.61 ,2022-06-02 17:13:00
266,2022-06-02 13:49:00,C13475514638,0,,Season         ,$0.00 ,2022-06-02 18:42:00
267,2022-06-02 13:54:00,C13474702176,1.11E+15,,Hourly         ,$5.66 ,2022-06-02 16:13:00
268,2022-06-02 13:57:00,C13475173987,1.11E+15,,Hourly         ,$2.95 ,2022-06-02 15:09:00
269,2022-06-02 14:05:00,C13474437302,0,,Season         ,$0.00 ,2022-06-02 16:36:00
280,2022-06-02 14:47:00,C13474171182,1.11E+15,,Hourly         ,$3.52 ,2022-06-02 16:14:00
285,2022-06-02 15:40:00,C13471491943,1.11E+15,,Hourly         ,$1.12 ,2022-06-02 16:08:00
290,2022-06-02 16:14:00,C13473132573,0,,Season         ,$0.00 ,2022-06-02 19:55:00
292,2022-06-02 16:24:00,C13475494664,1.11E+15,,Hourly         ,$3.32 ,2022-06-02 17:47:00
293,2022-06-02 16:25:00,C13565746734,1.11E+15,,Hourly         ,$3.24 ,2022-06-02 17:46:00
297,2022-06-02 17:02:00,C13471706725,1.11E+15,,Hourly         ,$1.92 ,2022-06-02 17:49:00
306,2022-06-02 17:41:00,C13471279663,0,,Hourly         ,$0.00 ,2022-06-02 17:49:00
318,2022-06-02 18:06:00,C13474398718,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:12:00
328,2022-06-02 18:38:00,C13471704975,1.11E+15,,Hourly         ,$3.45 ,2022-06-03 00:08:00
330,2022-06-02 18:41:00,C13471286685,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:02:00
334,2022-06-02 18:46:00,C13471465479,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:01:00
337,2022-06-02 18:51:00,C13566234044,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 21:21:00
339,2022-06-02 19:17:00,C13473732132,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 21:49:00
342,2022-06-02 19:37:00,C13473442617,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:35:00
343,2022-06-02 19:45:00,C13471802656,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 21:05:00
344,2022-06-02 19:49:00,C13472684118,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:19:00
346,2022-06-02 19:55:00,C13472203052,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:55:00
347,2022-06-02 19:56:00,C13474730630,0,,Hourly         ,$0.00 ,2022-06-02 19:57:00
348,2022-06-02 19:56:00,C13468910783,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:50:00
350,2022-06-02 19:58:00,C13471684909,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:19:00
351,2022-06-02 20:04:00,C13566191977,1.11E+15,,Hourly         ,$3.60 ,2022-06-03 00:11:00
352,2022-06-02 20:11:00,C13472175631,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:18:00
353,2022-06-02 20:32:00,C13471383465,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:26:00
355,2022-06-02 20:33:00,C13470526688,1.11E+15,,Hourly         ,$3.05 ,2022-06-03 00:00:00
356,2022-06-02 21:02:00,C13566347508,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:24:00
358,2022-06-02 21:09:00,C13566104980,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:12:00
360,2022-06-02 21:29:00,C13565775741,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 23:18:00
361,2022-06-02 21:40:00,C13469463920,0,,Hourly         ,$0.00 ,2022-06-02 21:49:00
362,2022-06-02 21:45:00,C13470514211,1.11E+15,,Hourly         ,$3.60 ,2022-06-03 00:11:00
384,2022-06-03 07:05:00,C13565903053,0,,Season         ,$0.00 ,2022-06-03 12:13:00
385,2022-06-03 07:17:00,C13474601064,0,,Season         ,$0.00 ,2022-06-03 07:26:00
387,2022-06-03 07:31:00,C13475420908,0,,Season         ,$0.00 ,2022-06-03 18:47:00
388,2022-06-03 07:38:00,C13467736593,0,,Hourly         ,$0.00 ,2022-06-03 16:27:00
389,2022-06-03 07:41:00,C13475104116,0,,Season         ,$0.00 ,2022-06-03 17:12:00
390,2022-06-03 07:46:00,C13471728958,0,,               ,$0.00 ,2022-06-03 16:48:00
391,2022-06-03 07:53:00,C13473875148,0,,Season         ,$0.00 ,2022-06-03 16:48:00
392,2022-06-03 07:58:00,C13474691731,0,,               ,$0.00 ,2022-06-03 17:24:00
393,2022-06-03 08:01:00,C13471891516,0,,Season         ,$0.00 ,2022-06-03 18:53:00
394,2022-06-03 08:13:00,C13473459744,0,,Season         ,$0.00 ,2022-06-03 19:05:00
395,2022-06-03 08:20:00,C13470818099,0,,Season         ,$0.00 ,2022-06-03 12:26:00
396,2022-06-03 08:22:00,C13473770570,0,,Season         ,$0.00 ,2022-06-03 12:22:00
397,2022-06-03 08:23:00,C13472444959,0,,Season         ,$0.00 ,2022-06-03 17:11:00
398,2022-06-03 08:24:00,C13474601064,0,,Season         ,$0.00 ,2022-06-03 11:53:00
399,2022-06-03 08:26:00,C13473144081,0,,Season         ,$0.00 ,2022-06-03 19:10:00
400,2022-06-03 08:36:00,C13472559297,0,,Season         ,$0.00 ,2022-06-03 11:26:00
401,2022-06-03 08:37:00,C13474821932,0,,Season         ,$0.00 ,2022-06-03 18:08:00
402,2022-06-03 08:38:00,C13565818936,0,,Hourly         ,$0.00 ,
403,2022-06-03 08:39:00,C13474839968,0,,Season         ,$0.00 ,2022-06-03 18:04:00
404,2022-06-03 08:43:00,C13475026805,0,,Season         ,$0.00 ,2022-06-03 17:15:00
405,2022-06-03 08:44:00,C13471773724,0,,               ,$0.00 ,2022-06-03 17:49:00
406,2022-06-03 08:44:00,C13473417907,1.11E+15,,Hourly         ,$27.04 ,2022-06-03 18:14:00
408,2022-06-03 08:46:00,C13566474525,0,,Season         ,$0.00 ,2022-06-03 17:34:00
407,2022-06-03 08:46:00,C13471638926,1.11E+15,,               ,$7.71 ,2022-06-03 12:52:00
409,2022-06-03 08:47:00,C13472983023,0,,Season         ,$0.00 ,2022-06-03 18:00:00
410,2022-06-03 08:47:00,C13474484765,0,,Season         ,$0.00 ,2022-06-03 15:16:00
411,2022-06-03 08:52:00,C13471054099,0,,Season         ,$0.00 ,2022-06-03 11:36:00
412,2022-06-03 08:59:00,C13474437302,0,,Season         ,$0.00 ,2022-06-03 12:20:00
413,2022-06-03 09:02:00,C13472907504,0,,Season         ,$0.00 ,2022-06-03 11:50:00
414,2022-06-03 09:04:00,C13472299008,0,,Season         ,$0.00 ,2022-06-03 15:43:00
415,2022-06-03 09:07:00,C13469137501,0,,Season         ,$0.00 ,2022-06-03 16:09:00
416,2022-06-03 09:22:00,C13470823380,0,,Season         ,$0.00 ,2022-06-03 18:19:00
417,2022-06-03 09:29:00,C13474031805,0,,Season         ,$0.00 ,2022-06-03 12:41:00
418,2022-06-03 09:31:00,C13566220473,1.11E+15,,Hourly         ,$1.12 ,2022-06-03 09:59:00
419,2022-06-03 09:37:00,C13469187669,1.11E+15,,Hourly         ,$0.76 ,2022-06-03 09:56:00
420,2022-06-03 09:44:00,C13474802710,0,,Season         ,$0.00 ,2022-06-03 19:05:00
421,2022-06-03 09:44:00,C13472313330,0,,Season         ,$0.00 ,2022-06-03 15:50:00
422,2022-06-03 09:45:00,C13472504781,0,,Hourly         ,$0.00 ,2022-06-03 18:06:00
423,2022-06-03 09:45:00,C13565816759,0,,Hourly         ,$0.00 ,2022-06-03 19:26:00
424,2022-06-03 09:45:00,C13474577908,0,,Season         ,$0.00 ,2022-06-03 17:44:00
425,2022-06-03 09:45:00,C13473787109,0,,Season         ,$0.00 ,2022-06-03 17:52:00
428,2022-06-03 10:13:00,C13473134123,0,,Season         ,$0.00 ,2022-06-03 18:32:00
429,2022-06-03 10:20:00,C13471898882,1.11E+15,,Hourly         ,$5.60 ,2022-06-03 12:19:00
430,2022-06-03 10:25:00,C13473132573,0,,Season         ,$0.00 ,2022-06-03 20:16:00
432,2022-06-03 10:54:00,C13472048793,0,,Hourly         ,$0.00 ,2022-06-03 11:01:00
434,2022-06-03 11:02:00,C13475305837,1.11E+15,,Hourly         ,$1.25 ,2022-06-03 11:27:00
435,2022-06-03 11:12:00,C13475521758,1.11E+15,,Hourly         ,$6.45 ,2022-06-03 13:21:00
439,2022-06-03 11:37:00,C13566091244,0,,Season         ,$0.00 ,2022-06-03 18:24:00
444,2022-06-03 12:20:00,C13471899345,1.11E+15,,Hourly         ,$10.24 ,2022-06-03 16:10:00
448,2022-06-03 12:30:00,C13472839887,0,,Season         ,$0.00 ,2022-06-03 13:58:00
449,2022-06-03 12:30:00,C13470650172,0,,Season         ,$0.00 ,2022-06-03 14:14:00
452,2022-06-03 13:04:00,C13467312963,1.11E+15,,Hourly         ,$4.36 ,2022-06-03 14:38:00
453,2022-06-03 13:05:00,C13566354347,1.11E+15,,Hourly         ,$3.47 ,2022-06-03 14:17:00
455,2022-06-03 13:23:00,C13472907504,0,,Season         ,$0.00 ,2022-06-03 18:08:00
456,2022-06-03 13:27:00,C13473127318,0,,Hourly         ,$0.00 ,2022-06-03 13:37:00
458,2022-06-03 13:41:00,C13475202696,1.11E+15,,Hourly         ,$8.47 ,2022-06-03 17:07:00
459,2022-06-03 13:46:00,C13473295814,1.11E+15,,Hourly         ,$3.70 ,2022-06-03 15:14:00
460,2022-06-03 13:50:00,C13565757517,1.11E+15,,Hourly         ,$2.26 ,2022-06-03 14:43:00
462,2022-06-03 13:58:00,C13474437302,0,,Season         ,$0.00 ,2022-06-03 16:50:00
465,2022-06-03 14:22:00,C13472739821,1.11E+15,,Hourly         ,$2.20 ,2022-06-03 15:16:00
466,2022-06-03 14:27:00,C13469105574,0,,Season         ,$0.00 ,2022-06-03 16:14:00
467,2022-06-03 14:28:00,C13471666391,1.11E+15,,Hourly         ,$1.24 ,2022-06-03 14:59:00
468,2022-06-03 14:34:00,C13470907655,1.11E+15,,Hourly         ,$0.48 ,2022-06-03 14:46:00
469,2022-06-03 14:36:00,C13475628736,1.11E+15,,Hourly         ,$3.08 ,2022-06-03 15:52:00
475,2022-06-03 15:15:00,C13473841519,1.11E+15,,Hourly         ,$6.28 ,2022-06-03 17:51:00
483,2022-06-03 16:13:00,C13389061838,1.11E+15,,Hourly         ,$3.72 ,2022-06-03 17:46:00
489,2022-06-03 16:53:00,C13472435481,1.11E+15,,Hourly         ,$5.68 ,2022-06-03 18:49:00
494,2022-06-03 17:23:00,C13470650172,0,,Season         ,$0.00 ,2022-06-06 07:11:00
496,2022-06-03 17:31:00,C13472498929,1.11E+15,,Hourly         ,$4.16 ,2022-06-03 23:38:00
501,2022-06-03 17:50:00,C13474046426,1.11E+15,,Hourly         ,$3.40 ,2022-06-03 19:19:00
505,2022-06-03 18:02:00,C13473857855,0,,Hourly         ,$0.00 ,2022-06-03 18:03:00
514,2022-06-03 18:29:00,C13475031961,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 21:28:00
517,2022-06-03 18:49:00,C13475041803,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 21:43:00
520,2022-06-03 18:57:00,C13471380312,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 23:10:00
