S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
0,2022-06-01 07:39:00,C13470143226,1.11E+15,,Hourly         ,$13.39 ,2022-06-01 12:46:00
1,2022-06-01 07:58:00,C13471481483,0,,Season         ,$0.00 ,2022-06-01 17:23:00
2,2022-06-01 08:09:00,C13473319492,0,,Hourly         ,$0.00 ,2022-06-01 08:10:00
4,2022-06-01 09:11:00,C13471350002,1.11E+15,,               ,$10.44 ,2022-06-01 14:38:00
5,2022-06-01 09:38:00,C13470689515,0,,Season         ,$0.00 ,2022-06-01 16:21:00
6,2022-06-01 09:40:00,C13388771413,1.11E+15,,Hourly         ,$6.65 ,2022-06-01 12:08:00
7,2022-06-01 09:52:00,C13472532988,1.11E+15,,Hourly         ,$7.32 ,2022-06-01 12:31:00
8,2022-06-01 09:57:00,C13566289054,0,,Season         ,$0.00 ,2022-06-01 19:24:00
9,2022-06-01 10:07:00,C13472146468,1.11E+15,,Hourly         ,$2.47 ,2022-06-01 11:06:00
10,2022-06-01 10:15:00,C13388101075,0,,Hourly         ,$0.00 ,2022-06-01 10:18:00
12,2022-06-01 10:23:00,C13472687211,0,,Hourly         ,$0.00 ,2022-06-01 23:19:00
13,2022-06-01 10:33:00,C13388714710,1.11E+15,,Hourly         ,$2.18 ,2022-06-01 11:21:00
14,2022-06-01 10:33:00,C13565984465,0,,Hourly         ,$0.00 ,2022-06-01 10:33:00
16,2022-06-01 11:00:00,C13565806669,1.11E+15,,               ,$2.24 ,2022-06-01 12:04:00
19,2022-06-01 11:50:00,C13470791699,1.11E+15,,Hourly         ,$19.10 ,2022-06-01 19:14:00
22,2022-06-01 12:13:00,C13471459918,0,,Hourly         ,$0.00 ,2022-06-01 12:14:00
24,2022-06-01 12:15:00,C13566516491,1.11E+15,,Hourly         ,$6.65 ,2022-06-01 14:34:00
27,2022-06-01 13:03:00,C13474709577,1.11E+15,,Hourly         ,$2.20 ,2022-06-01 13:47:00
28,2022-06-01 13:03:00,C13475258960,0,,Hourly         ,$0.00 ,2022-06-01 13:03:00
30,2022-06-01 13:16:00,C13565806429,0,,Season         ,$0.00 ,2022-06-01 16:54:00
31,2022-06-01 13:44:00,C13472262008,0,,Hourly         ,$0.00 ,2022-06-01 13:45:00
34,2022-06-01 13:52:00,C13470459060,0,,Hourly         ,$0.00 ,
36,2022-06-01 14:06:00,C13473095737,0,,Season         ,$0.00 ,2022-06-01 22:09:00
39,2022-06-01 14:41:00,C13475634806,1.11E+15,,Hourly         ,$7.20 ,2022-06-01 17:41:00
