S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
40,2022-06-01 15:00:00,C13472346099,0,,Season         ,$0.00 ,2022-06-01 15:54:00
41,2022-06-01 15:03:00,C13470143226,1.11E+15,,Hourly         ,$1.92 ,2022-06-01 15:50:00
42,2022-06-01 15:05:00,C13374300805,1.11E+15,,Hourly         ,$2.60 ,2022-06-01 16:10:00
46,2022-06-01 16:12:00,C13566610343,1.11E+15,,Hourly         ,$1.00 ,2022-06-01 16:36:00
52,2022-06-01 17:53:00,C13472346099,0,,Season         ,$0.00 ,2022-06-01 18:12:00
53,2022-06-01 18:09:00,C13472207658,0,,Hourly         ,$0.00 ,2022-06-01 18:11:00
56,2022-06-01 18:20:00,C13565986494,0,,Hourly         ,$0.00 ,2022-06-01 18:22:00
58,2022-06-01 18:22:00,C13474727090,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:21:00
59,2022-06-01 18:54:00,C13388364698,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 19:11:00
63,2022-06-01 20:20:00,C13474050591,0,,Hourly         ,$0.00 ,2022-06-01 20:20:00
65,2022-06-01 21:09:00,C13475542382,0,,Hourly         ,$0.00 ,2022-06-01 21:11:00
68,2022-06-01 21:36:00,C13471158076,0,,Hourly         ,$0.00 ,2022-06-01 21:37:00
70,2022-06-01 21:48:00,C13565986494,0,,Hourly         ,$0.00 ,2022-06-01 21:50:00
72,2022-06-01 22:02:00,C13473835597,0,,Hourly         ,$0.00 ,2022-06-01 22:04:00
76,2022-06-02 07:23:00,C13473202094,1.11E+15,,Hourly         ,$7.88 ,2022-06-02 10:39:00
77,2022-06-02 07:54:00,C13473736770,0,,Hourly         ,$0.00 ,2022-06-02 16:40:00
78,2022-06-02 08:00:00,C13565869618,0,,Hourly         ,$0.00 ,2022-06-02 08:00:00
80,2022-06-02 08:01:00,C13471481483,0,,Season         ,$0.00 ,2022-06-02 17:42:00
81,2022-06-02 08:05:00,C13472898420,0,,Hourly         ,$0.00 ,2022-06-02 08:06:00
83,2022-06-02 08:30:00,C13474388898,0,,Hourly         ,$0.00 ,2022-06-02 08:30:00
85,2022-06-02 08:40:00,C13471352735,0,,Season         ,$0.00 ,2022-06-02 11:04:00
86,2022-06-02 09:03:00,C13470689515,0,,Season         ,$0.00 ,2022-06-02 17:23:00
87,2022-06-02 10:14:00,C13566289054,0,,Season         ,$0.00 ,2022-06-02 19:52:00
90,2022-06-02 11:46:00,C13472479163,1.11E+15,,Hourly         ,$11.94 ,2022-06-02 16:10:00
91,2022-06-02 12:02:00,C13473708240,0,,Season         ,$0.00 ,2022-06-02 18:02:00
92,2022-06-02 12:06:00,C13473606997,0,,Hourly         ,$0.00 ,2022-06-02 12:07:00
94,2022-06-02 12:10:00,C13475499976,0,,Hourly         ,$0.00 ,2022-06-02 12:11:00
96,2022-06-02 12:19:00,C13474709577,1.11E+15,,Hourly         ,$1.95 ,2022-06-02 12:58:00
97,2022-06-02 12:26:00,C13473095737,0,,Season         ,$0.00 ,2022-06-02 22:15:00
98,2022-06-02 12:39:00,C13565998565,0,,Season         ,$0.00 ,2022-06-02 12:40:00
100,2022-06-02 12:46:00,C13472806326,0,,Hourly         ,$0.00 ,2022-06-02 12:47:00
102,2022-06-02 12:50:00,C13396404461,0,,Hourly         ,$0.00 ,2022-06-02 12:51:00
105,2022-06-02 13:04:00,C13472844475,0,,Hourly         ,$0.00 ,2022-06-02 13:04:00
107,2022-06-02 13:31:00,C111752345678789,1.11E+15,,Hourly         ,$14.05 ,2022-06-02 19:17:00
108,2022-06-02 13:38:00,C13471350002,1.11E+15,,               ,$9.59 ,2022-06-02 18:29:00
109,2022-06-02 13:46:00,C13475488443,0,,Hourly         ,$0.00 ,2022-06-02 13:47:00
111,2022-06-02 13:51:00,C13474052366,0,,Hourly         ,$0.00 ,2022-06-02 13:51:00
113,2022-06-02 14:05:00,C13471016620,0,,Hourly         ,$0.00 ,2022-06-02 17:53:00
114,2022-06-02 14:07:00,C13565924916,0,,Hourly         ,$0.00 ,2022-06-02 17:53:00
115,2022-06-02 14:08:00,C13475676889,0,,Hourly         ,$0.00 ,2022-06-02 17:51:00
116,2022-06-02 14:10:00,C13471574874,0,,Season         ,$0.00 ,2022-06-02 21:56:00
117,2022-06-02 14:12:00,C13470638852,0,,Hourly         ,$0.00 ,2022-06-02 14:13:00
119,2022-06-02 14:15:00,C13474578586,1.11E+15,,Hourly         ,$3.52 ,2022-06-02 15:43:00
120,2022-06-02 14:17:00,C13060397439,0,,Hourly         ,$0.00 ,2022-06-02 17:56:00
121,2022-06-02 14:20:00,C13475050260,0,,Hourly         ,$0.00 ,2022-06-02 14:25:00
123,2022-06-02 14:48:00,C13396444714,0,,Hourly         ,$0.00 ,2022-06-02 14:48:00
125,2022-06-02 14:55:00,C13472806326,0,,Hourly         ,$0.00 ,2022-06-02 14:55:00
127,2022-06-02 15:07:00,C13473811934,1.11E+15,,Hourly         ,$4.68 ,2022-06-02 17:04:00
129,2022-06-02 15:46:00,C13470143226,1.01E+15,,Hourly         ,$1.64 ,2022-06-02 16:26:00
130,2022-06-02 15:54:00,C13565998565,0,,Season         ,$0.00 ,2022-06-02 16:06:00
133,2022-06-02 16:14:00,C13473606997,0,,Hourly         ,$0.00 ,2022-06-02 16:15:00
137,2022-06-02 16:54:00,C13474430958,0,,Hourly         ,$0.00 ,2022-06-02 16:54:00
139,2022-06-02 16:59:00,C13475247205,0,,Hourly         ,$0.00 ,
142,2022-06-02 17:06:00,C13472349748,1.11E+15,,Hourly         ,$1.76 ,2022-06-02 17:50:00
152,2022-06-02 18:31:00,C13472029647,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 19:05:00
153,2022-06-02 18:38:00,C13474000149,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:14:00
154,2022-06-02 18:51:00,C13061228298,1.11E+15,,Hourly         ,$1.50 ,2022-06-02 22:44:00
155,2022-06-02 18:58:00,C13474280113,0,,Hourly         ,$0.00 ,2022-06-02 18:59:00
157,2022-06-02 18:59:00,C13566285566,1.01E+15,,Hourly         ,$3.00 ,2022-06-02 23:10:00
158,2022-06-02 19:01:00,C13470357883,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:38:00
159,2022-06-02 19:03:00,C13565972882,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:20:00
163,2022-06-02 21:33:00,C13471158076,0,,Hourly         ,$0.00 ,2022-06-02 21:38:00
168,2022-06-02 22:17:00,C13475542382,1.11E+15,,Hourly         ,$3.00 ,2022-06-02 22:41:00
174,2022-06-03 07:59:00,C13473736770,0,,Hourly         ,$0.00 ,2022-06-03 08:00:00
176,2022-06-03 08:00:00,C13471481483,0,,Season         ,$0.00 ,2022-06-03 17:23:00
177,2022-06-03 08:12:00,C13472898420,0,,Hourly         ,$0.00 ,2022-06-03 08:12:00
179,2022-06-03 08:17:00,C13473971819,1.11E+15,,Hourly         ,$3.80 ,2022-06-03 09:52:00
180,2022-06-03 08:20:00,C13472806326,0,,Hourly         ,$0.00 ,2022-06-03 08:21:00
182,2022-06-03 08:29:00,C13473229147,1.11E+15,,Hourly         ,$2.76 ,2022-06-03 09:38:00
183,2022-06-03 08:41:00,C13475614840,1.11E+15,,Hourly         ,$2.80 ,2022-06-03 09:50:00
184,2022-06-03 09:15:00,C13470689515,0,,Season         ,$0.00 ,2022-06-03 17:01:00
185,2022-06-03 09:25:00,C13472806326,1.11E+15,,Hourly         ,$1.56 ,2022-06-03 10:04:00
186,2022-06-03 09:29:00,C13388746614,1.11E+15,,Hourly         ,$10.24 ,2022-06-03 13:11:00
188,2022-06-03 09:47:00,C13472299874,1.11E+15,,Hourly         ,$1.00 ,2022-06-03 10:11:00
191,2022-06-03 09:52:00,C13388108895,1.11E+15,,Hourly         ,$5.77 ,2022-06-03 12:00:00
192,2022-06-03 09:54:00,C13566289054,0,,Season         ,$0.00 ,2022-06-03 19:24:00
193,2022-06-03 09:57:00,C13471507140,0,,Hourly         ,$0.00 ,2022-06-03 09:58:00
197,2022-06-03 10:15:00,C13474545337,1.11E+15,,Hourly         ,$11.40 ,2022-06-03 14:14:00
198,2022-06-03 10:23:00,C13472676275,0,,Hourly         ,$0.00 ,
200,2022-06-03 10:43:00,C13565763184,1.11E+15,,Hourly         ,$3.98 ,2022-06-03 12:05:00
201,2022-06-03 10:49:00,C13388771413,1.11E+15,,Hourly         ,$7.29 ,2022-06-03 13:16:00
202,2022-06-03 11:07:00,C13472532988,1.11E+15,,Hourly         ,$9.49 ,2022-06-03 14:20:00
203,2022-06-03 11:38:00,C13371494130,1.11E+15,,Hourly         ,$4.70 ,2022-06-03 13:12:00
206,2022-06-03 12:31:00,C13474710286,0,,Season         ,$0.00 ,2022-06-03 14:40:00
207,2022-06-03 12:36:00,C13565993101,1.11E+15,,Hourly         ,$6.08 ,2022-06-03 14:46:00
208,2022-06-03 12:49:00,C13473082081,0,,Hourly         ,$0.00 ,
213,2022-06-03 13:18:00,C13471574874,0,,Season         ,$0.00 ,2022-06-03 18:50:00
215,2022-06-03 14:18:00,C13474605165,1.01E+15,,Hourly         ,$7.64 ,2022-06-03 17:29:00
217,2022-06-03 14:24:00,C13470833553,1.11E+15,,Hourly         ,$2.16 ,2022-06-03 15:18:00
218,2022-06-03 14:24:00,C13474601064,0,,Season         ,$0.00 ,2022-06-03 15:40:00
219,2022-06-03 14:39:00,C13473095737,0,,Season         ,$0.00 ,2022-06-03 23:56:00
222,2022-06-03 15:00:00,C13388746614,1.11E+15,,Hourly         ,$0.80 ,2022-06-03 15:20:00
229,2022-06-03 17:36:00,C13473353541,1.11E+15,,Hourly         ,$3.96 ,2022-06-03 21:39:00
230,2022-06-03 17:53:00,C13470070304,1.11E+15,,Hourly         ,$3.28 ,2022-06-03 19:16:00
231,2022-06-03 18:14:00,C13472694339,0,,Hourly         ,$0.00 ,2022-06-03 18:15:00
233,2022-06-03 18:31:00,C13473429951,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 20:01:00
234,2022-06-03 18:36:00,C13473318488,0,,Hourly         ,$0.00 ,2022-06-03 18:39:00
235,2022-06-03 18:38:00,C13474369158,0,,Season         ,$0.00 ,2022-06-03 20:48:00
237,2022-06-03 18:45:00,C13473505918,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 20:43:00
239,2022-06-03 18:58:00,C13474000149,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 21:57:00
240,2022-06-03 19:07:00,C13566285566,1.01E+15,,Hourly         ,$3.00 ,2022-06-03 21:54:00
241,2022-06-03 19:14:00,C13474416562,0,,Hourly         ,$0.00 ,2022-06-03 19:14:00
244,2022-06-03 19:22:00,C13474819069,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 21:46:00
247,2022-06-03 20:02:00,C13566468700,0,,Hourly         ,$0.00 ,2022-06-03 20:02:00
249,2022-06-03 20:40:00,C13475155802,1.11E+15,,Hourly         ,$3.00 ,2022-06-03 22:45:00
252,2022-06-03 20:59:00,C13471158076,0,,Hourly         ,$0.00 ,2022-06-03 21:00:00
254,2022-06-03 21:14:00,C13469646972,0,,Hourly         ,$0.00 ,2022-06-03 21:15:00
256,2022-06-03 21:36:00,C13474881498,0,,Hourly         ,$0.00 ,2022-06-03 21:39:00
262,2022-06-03 22:19:00,C13472694339,0,,Hourly         ,$0.00 ,2022-06-03 22:19:00
264,2022-06-03 22:42:00,C13469468386,0,,Hourly         ,$0.00 ,2022-06-03 22:44:00
268,2022-06-04 06:50:00,C13472639123,0,,Hourly         ,$0.00 ,2022-06-04 06:51:00
270,2022-06-04 08:11:00,C13895984135,0,,Hourly         ,$0.00 ,2022-06-04 08:13:00
272,2022-06-04 08:15:00,C13061228298,1.11E+15,,Hourly         ,$1.50 ,2022-06-04 11:44:00
273,2022-06-04 08:15:00,C13566363833,0,,Hourly         ,$0.00 ,2022-06-04 08:16:00
275,2022-06-04 08:25:00,C13566088613,1.11E+15,,Hourly         ,$21.44 ,2022-06-04 17:20:00
276,2022-06-04 08:27:00,C13474613720,1.11E+15,,Hourly         ,$21.48 ,2022-06-04 17:23:00
277,2022-06-04 08:30:00,C13565798113,1.11E+15,,Hourly         ,$21.12 ,2022-06-04 17:17:00
278,2022-06-04 08:52:00,C13474133397,1.11E+15,,Hourly         ,$7.00 ,2022-06-04 11:47:00
279,2022-06-04 09:06:00,C13470106000,1.11E+15,,Hourly         ,$9.56 ,2022-06-04 13:05:00
280,2022-06-04 09:10:00,C13475354406,0,,Hourly         ,$0.00 ,2022-06-04 09:11:00
282,2022-06-04 09:16:00,C13472569948,1.11E+15,,Hourly         ,$19.12 ,2022-06-04 17:14:00
283,2022-06-04 09:20:00,C13471799858,0,,Hourly         ,$0.00 ,2022-06-04 09:21:00
285,2022-06-04 10:02:00,C13469764798,0,,Hourly         ,$0.00 ,2022-06-04 10:02:00
287,2022-06-04 10:24:00,C13472749468,0,,Hourly         ,$0.00 ,2022-06-04 10:25:00
289,2022-06-04 10:28:00,C13374300805,1.11E+15,,Hourly         ,$3.72 ,2022-06-04 12:00:00
290,2022-06-04 10:37:00,C13473511066,0,,Hourly         ,$0.00 ,2022-06-04 10:37:00
291,2022-06-04 10:37:00,C13474386977,0,,Hourly         ,$0.00 ,2022-06-04 10:37:00
294,2022-06-04 10:53:00,C13566262722,1.11E+15,,Hourly         ,$15.24 ,2022-06-04 17:14:00
298,2022-06-04 12:05:00,C13566285566,0,,Hourly         ,$0.00 ,2022-06-04 12:06:00
301,2022-06-04 13:18:00,C13566327813,0,,Hourly         ,$0.00 ,2022-06-04 13:18:00
303,2022-06-04 13:29:00,C13471919533,1.11E+15,,Hourly         ,$0.80 ,2022-06-04 13:48:00
305,2022-06-04 13:48:00,C13566363083,0,,Hourly         ,$0.00 ,2022-06-04 13:49:00
307,2022-06-04 13:49:00,C13475094464,1.11E+15,,Hourly         ,$0.56 ,2022-06-04 14:03:00
308,2022-06-04 13:59:00,C13470106000,1.11E+15,,Hourly         ,$7.92 ,2022-06-04 17:16:00
309,2022-06-04 14:02:00,C13473612392,0,,Hourly         ,$0.00 ,2022-06-04 14:03:00
312,2022-06-04 14:08:00,C13471960313,0,,Hourly         ,$0.00 ,2022-06-04 14:09:00
313,2022-06-04 14:08:00,C13472441280,0,,Hourly         ,$0.00 ,2022-06-04 14:09:00
316,2022-06-04 14:49:00,C13471410450,1.11E+15,,Hourly         ,$5.92 ,2022-06-04 17:17:00
317,2022-06-04 15:08:00,C13388956437,1.11E+15,,Hourly         ,$2.20 ,2022-06-04 16:02:00
319,2022-06-04 16:08:00,C13472952309,0,,Hourly         ,$0.00 ,2022-06-04 16:11:00
321,2022-06-04 16:57:00,C13388399445,1.11E+15,,Hourly         ,$0.80 ,2022-06-04 17:17:00
330,2022-06-04 18:46:00,C13473720888,1.11E+15,,Hourly         ,$3.00 ,2022-06-04 22:38:00
331,2022-06-04 18:53:00,C13472236532,0,,Hourly         ,$0.00 ,2022-06-04 18:54:00
333,2022-06-04 20:06:00,C13473874546,1.11E+15,,Hourly         ,$3.00 ,2022-06-04 22:26:00
336,2022-06-04 23:13:00,C13474065187,0,,Hourly         ,$0.00 ,2022-06-04 23:14:00
338,2022-06-04 23:16:00,C13473314856,0,,Hourly         ,$0.00 ,2022-06-04 23:17:00
339,2022-06-04 23:17:00,C13565948257,0,,Hourly         ,$0.00 ,2022-06-04 23:17:00
341,2022-06-04 23:17:00,C13471725311,0,,Hourly         ,$0.00 ,2022-06-04 23:17:00
344,2022-06-05 07:39:00,C13473405094,1.11E+15,,Hourly         ,$3.40 ,2022-06-05 09:03:00
346,2022-06-05 09:06:00,C13473639197,1.11E+15,,Hourly         ,$4.60 ,2022-06-05 11:00:00
347,2022-06-05 09:14:00,C13469405213,1.11E+15,,Hourly         ,$4.32 ,2022-06-05 11:02:00
348,2022-06-05 09:14:00,C13474492247,1.11E+15,,Hourly         ,$4.32 ,2022-06-05 11:02:00
349,2022-06-05 09:16:00,C13472320359,1.11E+15,,Hourly         ,$4.16 ,2022-06-05 10:59:00
350,2022-06-05 09:18:00,C13474927253,1.11E+15,,Hourly         ,$3.92 ,2022-06-05 10:56:00
351,2022-06-05 09:22:00,C13473652480,1.11E+15,,Hourly         ,$4.00 ,2022-06-05 11:01:00
352,2022-06-05 09:27:00,C13475166380,1.11E+15,,Hourly         ,$4.20 ,2022-06-05 11:11:00
353,2022-06-05 09:29:00,C13474310243,1.11E+15,,Hourly         ,$3.60 ,2022-06-05 10:59:00
354,2022-06-05 09:37:00,C13475242023,1.11E+15,,Hourly         ,$7.68 ,2022-06-05 12:48:00
355,2022-06-05 09:42:00,C13474942582,1.11E+15,,Hourly         ,$3.24 ,2022-06-05 11:03:00
356,2022-06-05 09:46:00,C13472348270,                ,,Hourly         ,$15.00 ,2022-06-05 16:01:00
357,2022-06-05 10:22:00,C13475632448,0,,Hourly         ,$0.00 ,2022-06-05 10:22:00
359,2022-06-05 10:46:00,C13472354540,0,,Hourly         ,$0.00 ,2022-06-05 10:46:00
361,2022-06-05 10:56:00,C13474372259,0,,Hourly         ,$0.00 ,2022-06-05 10:56:00
364,2022-06-05 10:58:00,C13472664113,0,,Hourly         ,$0.00 ,2022-06-05 10:59:00
374,2022-06-05 11:25:00,C13475218446,0,,Hourly         ,$0.00 ,2022-06-05 11:26:00
376,2022-06-05 12:06:00,C13469375440,0,,Hourly         ,$0.00 ,2022-06-05 12:06:00
378,2022-06-05 12:42:00,C13474400959,1.11E+15,,Hourly         ,$10.60 ,2022-06-05 17:06:00
379,2022-06-05 12:42:00,C13471774540,1.11E+15,,Hourly         ,$10.60 ,2022-06-05 17:06:00
381,2022-06-05 13:11:00,C13472299874,0,,Hourly         ,$0.00 ,2022-06-05 13:16:00
383,2022-06-05 13:21:00,C13472073710,0,,Hourly         ,$0.00 ,
385,2022-06-05 13:34:00,C13388746614,1.11E+15,,Hourly         ,$13.64 ,2022-06-05 19:08:00
386,2022-06-05 13:48:00,C13472299874,0,,Hourly         ,$0.00 ,2022-06-05 13:49:00
388,2022-06-05 14:19:00,C13475190171,0,,Hourly         ,$0.00 ,2022-06-05 14:20:00
390,2022-06-05 14:42:00,C13566079611,0,,Hourly         ,$0.00 ,2022-06-05 14:43:00
392,2022-06-05 14:51:00,C13566013670,1.11E+15,,Hourly         ,$1.32 ,2022-06-05 15:24:00
394,2022-06-05 15:51:00,C13388954374,1.11E+15,,Hourly         ,$2.08 ,2022-06-05 16:43:00
397,2022-06-05 16:47:00,C13565698636,0,,Hourly         ,$0.00 ,2022-06-05 16:48:00
401,2022-06-05 17:09:00,C13566112339,1.11E+15,,               ,$3.53 ,2022-06-05 22:13:00
402,2022-06-05 17:48:00,C13471574874,0,,Season         ,$0.00 ,2022-06-05 19:30:00
403,2022-06-05 18:01:00,C13388954374,1.11E+15,,Hourly         ,$3.00 ,2022-06-05 19:42:00
404,2022-06-05 18:07:00,C13565716876,0,,Hourly         ,$0.00 ,2022-06-05 18:09:00
406,2022-06-05 18:22:00,C13373739409,0,,Hourly         ,$0.00 ,2022-06-05 18:23:00
411,2022-06-05 20:12:00,C13566408467,0,,Hourly         ,$0.00 ,2022-06-05 20:12:00
413,2022-06-05 20:29:00,C13472354540,0,,Hourly         ,$0.00 ,2022-06-05 20:30:00
415,2022-06-05 21:12:00,C13471158076,0,,Hourly         ,$0.00 ,2022-06-05 21:13:00
418,2022-06-06 07:09:00,C13388954374,0,,Hourly         ,$0.00 ,2022-06-06 07:17:00
420,2022-06-06 07:24:00,C13388746614,1.11E+15,,Hourly         ,$30.24 ,2022-06-06 19:02:00
421,2022-06-06 07:28:00,C13474773489,1.11E+15,,Hourly         ,$20.28 ,2022-06-06 15:09:00
422,2022-06-06 07:50:00,C13471481483,0,,Season         ,$0.00 ,2022-06-06 10:01:00
423,2022-06-06 08:03:00,C13475043687,1.00E+15,,Hourly         ,$4.76 ,2022-06-06 10:02:00
424,2022-06-06 08:03:00,C13472382886,0,,Hourly         ,$0.00 ,2022-06-06 08:04:00
426,2022-06-06 08:09:00,C13475384591,1.11E+15,,Hourly         ,$1.28 ,2022-06-06 08:41:00
427,2022-06-06 08:14:00,C13472850357,0,,Hourly         ,$0.00 ,2022-06-06 08:15:00
429,2022-06-06 08:18:00,C13472839887,0,,Season         ,$0.00 ,2022-06-06 10:19:00
430,2022-06-06 08:24:00,C13473906091,0,,Hourly         ,$0.00 ,2022-06-06 10:03:00
431,2022-06-06 08:27:00,C13470650172,0,,Season         ,$0.00 ,2022-06-06 08:28:00
433,2022-06-06 08:31:00,C13565772159,0,,Hourly         ,$0.00 ,2022-06-06 08:33:00
436,2022-06-06 08:37:00,C13475325233,0,,Hourly         ,$0.00 ,2022-06-06 08:38:00
435,2022-06-06 08:37:00,C13473886836,1.11E+15,,Hourly         ,$22.36 ,2022-06-06 17:10:00
438,2022-06-06 08:39:00,C13471574874,0,,Season         ,$0.00 ,2022-06-06 17:14:00
440,2022-06-06 08:44:00,C13475434983,0,,Hourly         ,$0.00 ,2022-06-06 08:45:00
442,2022-06-06 08:51:00,C13472693794,0,,Season         ,$0.00 ,2022-06-06 16:59:00
443,2022-06-06 08:56:00,C13470875323,0,,Hourly         ,$0.00 ,2022-06-06 12:44:00
444,2022-06-06 09:08:00,C13470650172,0,,Season         ,$0.00 ,2022-06-06 09:27:00
446,2022-06-06 09:39:00,C13566289054,0,,Season         ,$0.00 ,2022-06-06 18:29:00
447,2022-06-06 09:42:00,C13470689515,0,,Season         ,$0.00 ,2022-06-06 15:51:00
448,2022-06-06 10:00:00,C13472687211,0,,Hourly         ,$0.00 ,2022-06-06 19:41:00
450,2022-06-06 10:01:00,C13388874051,1.11E+15,,Hourly         ,$23.96 ,2022-06-06 18:07:00
453,2022-06-06 10:08:00,C13473119140,0,,Hourly         ,$0.00 ,2022-06-06 10:09:00
455,2022-06-06 10:11:00,C13388065502,1.01E+15,,Hourly         ,$0.44 ,2022-06-06 10:21:00
457,2022-06-06 10:20:00,C13472864481,1.11E+15,,Hourly         ,$7.30 ,2022-06-06 12:53:00
459,2022-06-06 10:34:00,C13473355175,0,,Hourly         ,$0.00 ,2022-06-06 10:34:00
461,2022-06-06 10:57:00,C13389077801,1.11E+15,,Hourly         ,$3.62 ,2022-06-06 12:09:00
462,2022-06-06 11:44:00,C13473095737,0,,Season         ,$0.00 ,2022-06-06 22:22:00
463,2022-06-06 11:46:00,C13473609695,0,,Hourly         ,$0.00 ,2022-06-06 15:15:00
464,2022-06-06 11:51:00,C13471950231,0,,Hourly         ,$0.00 ,2022-06-06 11:51:00
466,2022-06-06 11:52:00,C13469855803,0,,Hourly         ,$0.00 ,2022-06-06 11:53:00
468,2022-06-06 12:04:00,C13388172967,0,,Hourly         ,$0.00 ,2022-06-06 12:12:00
473,2022-06-06 13:03:00,C13470902621,0,,Hourly         ,$0.00 ,2022-06-06 13:04:00
475,2022-06-06 13:08:00,C13565985966,0,,Hourly         ,$0.00 ,2022-06-06 13:17:00
477,2022-06-06 13:17:00,C13388874059,1.11E+15,,Hourly         ,$1.55 ,2022-06-06 13:48:00
482,2022-06-06 15:56:00,C13371552021,1.11E+15,,Hourly         ,$0.88 ,2022-06-06 16:18:00
483,2022-06-06 16:09:00,C13472532988,1.11E+15,,Hourly         ,$7.44 ,2022-06-06 18:17:00
486,2022-06-06 17:01:00,C13475443191,1.11E+15,,Hourly         ,$5.36 ,2022-06-06 19:16:00
489,2022-06-06 17:30:00,C13474152504,0,,Hourly         ,$0.00 ,
491,2022-06-06 17:33:00,C13472839887,0,,Season         ,$0.00 ,2022-06-06 18:25:00
492,2022-06-06 18:01:00,C13473134412,1.11E+15,,Hourly         ,$3.00 ,2022-06-06 21:01:00
497,2022-06-06 18:45:00,C13475597385,1.11E+15,,Hourly         ,$3.00 ,2022-06-06 21:52:00
498,2022-06-06 18:55:00,C13475515420,1.11E+15,,Hourly         ,$3.00 ,2022-06-06 21:50:00
499,2022-06-06 18:57:00,C13566285566,1.01E+15,,Hourly         ,$3.00 ,2022-06-06 22:00:00
501,2022-06-06 19:07:00,C13473069684,0,,Hourly         ,$0.00 ,2022-06-06 19:07:00
503,2022-06-06 19:09:00,C13473508195,0,,Hourly         ,$0.00 ,2022-06-06 19:13:00
506,2022-06-06 19:19:00,C13473343576,0,,Hourly         ,$0.00 ,
509,2022-06-06 20:45:00,C13471132038,0,,Hourly         ,$0.00 ,2022-06-06 20:47:00
516,2022-06-07 07:11:00,C13388954374,1.11E+15,,Hourly         ,$0.48 ,2022-06-07 07:22:00
518,2022-06-07 07:24:00,C13388746614,1.11E+15,,Hourly         ,$11.04 ,2022-06-07 11:47:00
519,2022-06-07 07:32:00,C13472695957,1.11E+15,,Hourly         ,$24.64 ,2022-06-07 17:02:00
520,2022-06-07 08:18:00,C13474368656,1.11E+15,,Hourly         ,$22.88 ,2022-06-07 17:04:00
521,2022-06-07 08:52:00,C13396382037,0,,Hourly         ,$0.00 ,2022-06-07 08:53:00
523,2022-06-07 08:56:00,C13472693794,0,,Season         ,$0.00 ,2022-06-07 16:49:00
