S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
76,1/6/22 08:47,Front_Ent ,C13468561313,0,,Hourly         ,$0.00 
77,1/6/22 08:47,Front_Ent ,C13472405169,0,,Season         ,$0.00 
78,1/6/22 08:47,Entry     ,C13468561313,0,,Hourly         ,$0.00 
79,1/6/22 08:48,Entry     ,C13472405169,0,,Season         ,$0.00 
80,1/6/22 08:52,Front_Ent ,C13388398133,0,,Hourly         ,$0.00 
81,1/6/22 08:53,Entry     ,C13388398133,0,,Hourly         ,$0.00 
82,1/6/22 08:54,Front_Ent ,C13475045599,0,,Season         ,$0.00 
83,1/6/22 08:55,Entry     ,C13475045599,0,,Season         ,$0.00 
84,1/6/22 08:58,Front_Ent ,C13388289737,0,,Hourly         ,$0.00 
85,1/6/22 08:58,Front_Ent ,C13566081758,0,,Season         ,$0.00 
86,1/6/22 08:59,Entry     ,C13566081758,0,,Season         ,$0.00 
87,1/6/22 09:01,Front_Ent ,C13473321457,0,,Hourly         ,$0.00 
88,1/6/22 09:01,Entry     ,C13473321457,0,,Hourly         ,$0.00 
89,1/6/22 09:01,Front_Ent ,C13474117384,0,,Season         ,$0.00 
90,1/6/22 09:02,Entry     ,C13474117384,0,,Season         ,$0.00 
91,1/6/22 09:04,Front_Ent ,C13471308332,0,,Hourly         ,$0.00 
92,1/6/22 09:04,Entry     ,C13471308332,0,,Hourly         ,$0.00 
93,1/6/22 09:05,Front_Ent ,C13472055229,0,,Season         ,$0.00 
94,1/6/22 09:06,Front_Ent ,C13475498608,0,,Season         ,$0.00 
95,1/6/22 09:06,Entry     ,C13475498608,0,,Season         ,$0.00 
96,1/6/22 09:07,Front_Ent ,C13472977878,0,,Hourly         ,$0.00 
97,1/6/22 09:13,Front_Ent ,C13396438821,0,,Hourly         ,$0.00 
98,1/6/22 09:16,Front_Ent ,C13388637773,0,,Hourly         ,$0.00 
99,1/6/22 09:16,Entry     ,C13388637773,0,,Hourly         ,$0.00 
100,1/6/22 09:18,Front_Ent ,C13467427368,0,,Season         ,$0.00 
101,1/6/22 09:19,Entry     ,C13467427368,0,,Season         ,$0.00 
102,1/6/22 09:19,Front_Ent ,C13469312119,0,,Season         ,$0.00 
103,1/6/22 09:20,Entry     ,C13469312119,0,,Season         ,$0.00 
104,1/6/22 09:20,Front_Ent ,C13468868609,0,,Season         ,$0.00 
105,1/6/22 09:20,Entry     ,C13468868609,0,,Season         ,$0.00 
106,1/6/22 09:27,Front_Ent ,C13475191392,0,,Season         ,$0.00 
107,1/6/22 09:27,Entry     ,C13475191392,0,,Season         ,$0.00 
108,1/6/22 09:28,Exit      ,C13388637773,1.11E+15,,Hourly         ,$0.48 
109,1/6/22 09:30,Front_Ent ,C13469013545,0,,Preferential   ,$0.00 
110,1/6/22 09:30,Entry     ,C13469013545,0,,Hourly         ,$0.00 
111,1/6/22 09:32,Exit      ,C13468561313,1.11E+15,,Hourly         ,$1.80 
112,1/6/22 09:35,Front_Ent ,C13856758932,0,,Hourly         ,$0.00 
113,1/6/22 09:35,Front_Ent ,C13472388224,0,,Season         ,$0.00 
114,1/6/22 09:35,Entry     ,C13856758932,0,,Hourly         ,$0.00 
115,1/6/22 09:36,Entry     ,C13472388224,0,,Season         ,$0.00 
116,1/6/22 09:39,Front_Ent ,C13474169003,0,,Season         ,$0.00 
117,1/6/22 09:39,Entry     ,C13474169003,0,,Season         ,$0.00 
118,1/6/22 09:40,Front_Ent ,C13473089852,0,,Season         ,$0.00 
119,1/6/22 09:40,Entry     ,C13473089852,0,,Season         ,$0.00 
120,1/6/22 09:40,Exit      ,C13856758932,0,,Hourly         ,$0.00 
121,1/6/22 09:42,Front_Ent ,C13472402579,0,,Season         ,$0.00 
122,1/6/22 09:42,Entry     ,C13472402579,0,,Season         ,$0.00 
123,1/6/22 09:45,Front_Ent ,C13388262397,0,,Hourly         ,$0.00 
124,1/6/22 09:46,Exit      ,C13388398133,1.11E+15,,Hourly         ,$2.16 
125,1/6/22 09:46,Front_Ent ,C13565892783,0,,Hourly         ,$0.00 
126,1/6/22 09:47,Front_Ent ,C13474303832,0,,Hourly         ,$0.00 
127,1/6/22 09:47,Front_Ent ,C13471978973,0,,Season         ,$0.00 
128,1/6/22 09:48,Entry     ,C13471978973,0,,Season         ,$0.00 
129,1/6/22 09:48,Front_Ent ,C13388137187,0,,Hourly         ,$0.00 
130,1/6/22 09:48,Front_Ent ,C13475486463,0,,Hourly         ,$0.00 
131,1/6/22 09:49,Front_Ent ,C13471938534,0,,Hourly         ,$0.00 
132,1/6/22 09:49,Entry     ,C13471938534,0,,Hourly         ,$0.00 
133,1/6/22 09:50,Front_Ent ,C13474329285,0,,Hourly         ,$0.00 
134,1/6/22 09:50,Entry     ,C13474329285,0,,Hourly         ,$0.00 
135,1/6/22 09:52,Front_Ent ,C13468962964,0,,Hourly         ,$0.00 
136,1/6/22 09:52,Entry     ,C13468962964,0,,Hourly         ,$0.00 
137,1/6/22 09:55,Front_Ent ,C13470745732,0,,Hourly         ,$0.00 
138,1/6/22 09:57,Front_Ent ,C13472552087,0,,Hourly         ,$0.00 
139,1/6/22 09:57,Front_Ent ,C13566271442,0,,Season         ,$0.00 
140,1/6/22 09:57,Entry     ,C13472552087,0,,Hourly         ,$0.00 
141,1/6/22 09:57,Entry     ,C13566271442,0,,Season         ,$0.00 
142,1/6/22 09:59,Front_Ent ,C13388682699,0,,Hourly         ,$0.00 
143,1/6/22 09:59,Entry     ,C13388682699,0,,Hourly         ,$0.00 
144,1/6/22 10:01,Front_Ent ,C13470479412,0,,Hourly         ,$0.00 
145,1/6/22 10:02,Entry     ,C13470479412,0,,Hourly         ,$0.00 
146,1/6/22 10:02,Exit      ,C13565755371,0,,Season         ,$0.00 
147,1/6/22 10:06,Front_Ent ,C13475223768,0,,Hourly         ,$0.00 
148,1/6/22 10:06,Entry     ,C13475223768,0,,Hourly         ,$0.00 
149,1/6/22 10:09,Front_Ent ,C13475438060,0,,Hourly         ,$0.00 
150,1/6/22 10:09,Entry     ,C13475438060,0,,Hourly         ,$0.00 
151,1/6/22 10:10,Front_Ent ,C13473649814,0,,Season         ,$0.00 
152,1/6/22 10:10,Entry     ,C13473649814,0,,Season         ,$0.00 
153,1/6/22 10:16,Front_Ent ,C13396460496,0,,Hourly         ,$0.00 
154,1/6/22 10:16,Front_Ent ,C13472177982,0,,Season         ,$0.00 
155,1/6/22 10:16,Entry     ,C13472177982,0,,Season         ,$0.00 
156,1/6/22 10:17,Front_Ent ,C13566498581,0,,Hourly         ,$0.00 
157,1/6/22 10:18,Entry     ,C13566498581,0,,Hourly         ,$0.00 
158,1/6/22 10:19,Exit      ,C13388682699,1.11E+15,,Hourly         ,$0.80 
159,1/6/22 10:20,Front_Ent ,C13469882145,0,,Hourly         ,$0.00 
160,1/6/22 10:21,Front_Ent ,C13473130864,0,,Hourly         ,$0.00 
161,1/6/22 10:21,Front_Ent ,C13475570268,0,,Season         ,$0.00 
162,1/6/22 10:21,Entry     ,C13475570268,0,,Season         ,$0.00 
163,1/6/22 10:24,Front_Ent ,C13475069309,0,,Preferential   ,$0.00 
164,1/6/22 10:25,Front_Ent ,C13425695640,0,,Season         ,$0.00 
165,1/6/22 10:25,Front_Ent ,C13396203136,0,,Hourly         ,$0.00 
166,1/6/22 10:25,Entry     ,C13425695640,0,,Season         ,$0.00 
167,1/6/22 10:27,Front_Ent ,C13472983734,0,,Season         ,$0.00 
168,1/6/22 10:27,Entry     ,C13472983734,0,,Season         ,$0.00 
169,1/6/22 10:27,Front_Ent ,C13473412553,0,,Hourly         ,$0.00 
170,1/6/22 10:28,Front_Ent ,C13470763271,0,,Season         ,$0.00 
171,1/6/22 10:28,Entry     ,C13470763271,0,,Season         ,$0.00 
172,1/6/22 10:28,Front_Ent ,C13388001225,0,,Hourly         ,$0.00 
173,1/6/22 10:29,Exit      ,C13467427368,0,,Season         ,$0.00 
174,1/6/22 10:29,Front_Ent ,C13389079103,0,,Hourly         ,$0.00 
175,1/6/22 10:31,Exit      ,C13425695640,0,,Season         ,$0.00 
176,1/6/22 10:36,Entry     ,C13389079103,0,,Hourly         ,$0.00 
177,1/6/22 10:37,Front_Ent ,C13473603433,0,,Hourly         ,$0.00 
178,1/6/22 10:38,Front_Ent ,C13472839384,0,,Hourly         ,$0.00 
179,1/6/22 10:38,Entry     ,C13472839384,0,,Hourly         ,$0.00 
180,1/6/22 10:39,Entry     ,C13058640931,0,,Season         ,$0.00 
181,1/6/22 10:44,Front_Ent ,C13472649823,0,,Hourly         ,$0.00 
182,1/6/22 10:44,Entry     ,C13472649823,0,,Hourly         ,$0.00 
183,1/6/22 10:47,Front_Ent ,C13474999770,0,,Hourly         ,$0.00 
184,1/6/22 10:48,Front_Ent ,C13472841924,0,,Hourly         ,$0.00 
185,1/6/22 10:49,Entry     ,C13472841924,0,,Hourly         ,$0.00 
186,1/6/22 10:54,Front_Ent ,C13387811862,0,,Hourly         ,$0.00 
187,1/6/22 10:55,Exit      ,C13470479412,1.11E+15,,Hourly         ,$2.16 
188,1/6/22 10:56,Front_Ent ,C13474037045,0,,Hourly         ,$0.00 
189,1/6/22 11:00,Exit      ,C13474329285,1.11E+15,,Hourly         ,$2.85 
190,1/6/22 11:05,Front_Ent ,C13388537725,0,,Hourly         ,$0.00 
191,1/6/22 11:05,Entry     ,C13388537725,0,,Hourly         ,$0.00 
192,1/6/22 11:05,Front_Ent ,C13388548540,0,,Hourly         ,$0.00 
193,1/6/22 11:08,Front_Ent ,C13388926042,0,,Hourly         ,$0.00 
194,1/6/22 11:08,Entry     ,C13388926042,0,,Hourly         ,$0.00 
195,1/6/22 11:09,Front_Ent ,C13470598806,0,,Hourly         ,$0.00 
196,1/6/22 11:09,Entry     ,C13470598806,0,,Hourly         ,$0.00 
197,1/6/22 11:12,Exit      ,C13388537725,0,,Hourly         ,$0.00 
198,1/6/22 11:12,Exit      ,C13472552087,1.11E+15,,Hourly         ,$3.17 
199,1/6/22 11:13,Front_Ent ,C13565755371,0,,Season         ,$0.00 
200,1/6/22 11:13,Front_Ent ,C13388735477,0,,Hourly         ,$0.00 
201,1/6/22 11:14,Entry     ,C13565755371,0,,Season         ,$0.00 
202,1/6/22 11:14,Front_Ent ,C13388734130,0,,Hourly         ,$0.00 
203,1/6/22 11:14,Entry     ,C13388735477,0,,Hourly         ,$0.00 
204,1/6/22 11:15,Front_Ent ,C13475291036,0,,Hourly         ,$0.00 
205,1/6/22 11:21,Exit      ,C13474297835,0,,Season         ,$0.00 
206,1/6/22 11:25,Front_Ent ,C13469780792,0,,Hourly         ,$0.00 
207,1/6/22 11:25,Entry     ,C13469780792,0,,Hourly         ,$0.00 
208,1/6/22 11:30,Exit      ,C13388735477,1.11E+15,,Hourly         ,$0.85 
209,1/6/22 11:32,Front_Ent ,C13469574505,0,,Hourly         ,$0.00 
210,1/6/22 11:34,Exit      ,C13388926042,1.11E+15,,Hourly         ,$1.30 
211,1/6/22 11:36,Front_Ent ,C13473715847,0,,Season         ,$0.00 
212,1/6/22 11:37,Entry     ,C13473715847,0,,Season         ,$0.00 
213,1/6/22 11:41,Exit      ,C13470598806,1.11E+15,,Hourly         ,$1.60 
214,1/6/22 11:42,Front_Ent ,C13470301014,0,,Hourly         ,$0.00 
215,1/6/22 11:42,Entry     ,C13470301014,0,,Hourly         ,$0.00 
216,1/6/22 11:46,Front_Ent ,C13471470446,0,,Hourly         ,$0.00 
217,1/6/22 11:48,Front_Ent ,C13472132326,0,,Hourly         ,$0.00 
218,1/6/22 11:50,Exit      ,C13472649823,1.11E+15,,Hourly         ,$3.19 
219,1/6/22 11:54,Exit      ,C13470347555,0,,Season         ,$0.00 
220,1/6/22 11:56,Exit      ,C13474221747,1.11E+15,,Hourly         ,$9.73 
221,1/6/22 11:58,Front_Ent ,C13566282778,0,,Hourly         ,$0.00 
222,1/6/22 11:58,Entry     ,C13566282778,0,,Hourly         ,$0.00 
223,1/6/22 12:02,Exit      ,C13565755371,0,,Season         ,$0.00 
224,1/6/22 12:02,Exit      ,C13565758101,0,,Season         ,$0.00 
225,1/6/22 12:03,Front_Ent ,C13471561797,0,,Season         ,$0.00 
226,1/6/22 12:03,Entry     ,C13471561797,0,,Season         ,$0.00 
227,1/6/22 12:06,Front_Ent ,C13388447312,0,,Hourly         ,$0.00 
228,1/6/22 12:06,Entry     ,C13388447312,0,,Hourly         ,$0.00 
229,1/6/22 12:07,Exit      ,C13471938534,1.11E+15,,Hourly         ,$6.24 
230,1/6/22 12:08,Front_Ent ,C13473159920,0,,Hourly         ,$0.00 
231,1/6/22 12:10,Front_Ent ,C13469182380,0,,Hourly         ,$0.00 
232,1/6/22 12:10,Front_Ent ,C13566122736,0,,Hourly         ,$0.00 
233,1/6/22 12:10,Front_Ent ,C13473329575,0,,Hourly         ,$0.00 
234,1/6/22 12:10,Entry     ,C13469182380,0,,Hourly         ,$0.00 
235,1/6/22 12:11,Entry     ,C13566122736,0,,Hourly         ,$0.00 
236,1/6/22 12:14,Exit      ,C13566122736,0,,Hourly         ,$0.00 
237,1/6/22 12:14,Front_Ent ,C13396488538,0,,Hourly         ,$0.00 
238,1/6/22 12:14,Entry     ,C13396488538,0,,Hourly         ,$0.00 
239,1/6/22 12:16,Front_Ent ,C13471279991,0,,Hourly         ,$0.00 
240,1/6/22 12:16,Entry     ,C13471279991,0,,Hourly         ,$0.00 
241,1/6/22 12:17,Exit      ,C13388447312,1.11E+15,,Hourly         ,$0.55 
242,1/6/22 12:18,Front_Ent ,C13372519259,0,,Season         ,$0.00 
243,1/6/22 12:18,Exit      ,C13471308332,1.11E+15,,Hourly         ,$8.59 
244,1/6/22 12:18,Entry     ,C13372519259,0,,Season         ,$0.00 
245,1/6/22 12:19,Exit      ,C13474169003,0,,Season         ,$0.00 
246,1/6/22 12:23,Front_Ent ,C13472663488,0,,Season         ,$0.00 
247,1/6/22 12:23,Entry     ,C13472663488,0,,Season         ,$0.00 
248,1/6/22 12:28,Exit      ,C13474450106,1.01E+15,,Hourly         ,$11.13 
249,1/6/22 12:31,Front_Ent ,C13474158445,0,,Hourly         ,$0.00 
250,1/6/22 12:31,Front_Ent ,C13388909344,0,,Hourly         ,$0.00 
251,1/6/22 12:32,Entry     ,C13388909344,0,,Hourly         ,$0.00 
252,1/6/22 12:35,Front_Ent ,C13396397565,0,,Hourly         ,$0.00 
253,1/6/22 12:40,Front_Ent ,C13388714710,0,,Hourly         ,$0.00 
254,1/6/22 12:40,Entry     ,C13388714710,0,,Hourly         ,$0.00 
255,1/6/22 12:41,Front_Ent ,C13472440571,0,,Hourly         ,$0.00 
256,1/6/22 12:41,Front_Ent ,C13475550054,0,,Hourly         ,$0.00 
257,1/6/22 12:41,Entry     ,C13472440571,0,,Hourly         ,$0.00 
258,1/6/22 12:42,Front_Ent ,C13472535554,0,,Season         ,$0.00 
259,1/6/22 12:42,Exit      ,C13389079103,1.11E+15,,Hourly         ,$6.11 
260,1/6/22 12:42,Entry     ,C13472535554,0,,Season         ,$0.00 
261,1/6/22 12:45,Exit      ,C13566119683,0,,Season         ,$0.00 
262,1/6/22 12:47,Front_Ent ,C13469679640,0,,Hourly         ,$0.00 
263,1/6/22 12:47,Entry     ,C13469679640,0,,Hourly         ,$0.00 
264,1/6/22 12:56,Front_Ent ,C13472806910,0,,Season         ,$0.00 
265,1/6/22 12:56,Entry     ,C13472806910,0,,Season         ,$0.00 
266,1/6/22 13:03,Front_Ent ,C13468909777,0,,Hourly         ,$0.00 
267,1/6/22 13:03,Exit      ,C13396488538,1.01E+15,,Hourly         ,$2.50 
268,1/6/22 13:12,Front_Ent ,C13471470446,0,,Hourly         ,$0.00 
269,1/6/22 13:12,Exit      ,C13472841924,1.11E+15,,Hourly         ,$7.09 
270,1/6/22 13:13,Exit      ,C13472839384,1.11E+15,,Hourly         ,$7.58 
271,1/6/22 13:15,Front_Ent ,C13472065179,0,,Hourly         ,$0.00 
272,1/6/22 13:15,Entry     ,C13472065179,0,,Hourly         ,$0.00 
273,1/6/22 13:15,Exit      ,C13472983734,0,,Season         ,$0.00 
274,1/6/22 13:19,Exit      ,C13469182380,1.11E+15,,Hourly         ,$3.50 
275,1/6/22 13:22,Exit      ,C13472065179,0,,Hourly         ,$0.00 
276,1/6/22 13:27,Front_Ent ,C13473862674,0,,Hourly         ,$0.00 
277,1/6/22 13:28,Front_Ent ,C13473974635,0,,Season         ,$0.00 
278,1/6/22 13:28,Entry     ,C13473974635,0,,Season         ,$0.00 
279,1/6/22 13:28,Entry     ,C13473862674,0,,Hourly         ,$0.00 
280,1/6/22 13:32,Front_Ent ,C13471780602,0,,Hourly         ,$0.00 
281,1/6/22 13:33,Entry     ,C13471780602,0,,Hourly         ,$0.00 
282,1/6/22 13:34,Front_Ent ,C13565930830,0,,Hourly         ,$0.00 
283,1/6/22 13:34,Front_Ent ,C13565938745,0,,Hourly         ,$0.00 
284,1/6/22 13:34,Entry     ,C13565930830,0,,Hourly         ,$0.00 
285,1/6/22 13:34,Entry     ,C13565938745,0,,Hourly         ,$0.00 
286,1/6/22 13:35,Front_Ent ,C13474155243,0,,Season         ,$0.00 
287,1/6/22 13:35,Front_Ent ,C13565784962,0,,Season         ,$0.00 
288,1/6/22 13:36,Entry     ,C13565784962,0,,Season         ,$0.00 
289,1/6/22 13:38,Exit      ,C13470301014,1.11E+15,,               ,$4.06 
290,1/6/22 13:38,Front_Ent ,C13475294014,0,,Hourly         ,$0.00 
291,1/6/22 13:38,Entry     ,C13475294014,0,,Hourly         ,$0.00 
292,1/6/22 13:42,Front_Ent ,C13474555138,0,,Hourly         ,$0.00 
293,1/6/22 13:42,Entry     ,C13474555138,0,,Hourly         ,$0.00 
294,1/6/22 13:44,Front_Ent ,C13565716703,0,,Season         ,$0.00 
295,1/6/22 13:44,Entry     ,C13565716703,0,,Season         ,$0.00 
296,1/6/22 13:45,Front_Ent ,C13565758101,0,,Season         ,$0.00 
297,1/6/22 13:45,Entry     ,C13565758101,0,,Season         ,$0.00 
298,1/6/22 13:46,Front_Ent ,C13388656658,0,,Hourly         ,$0.00 
299,1/6/22 13:46,Entry     ,C13388656658,0,,Hourly         ,$0.00 
300,1/6/22 13:47,Front_Ent ,C13388502380,0,,Hourly         ,$0.00 
301,1/6/22 13:49,Front_Ent ,C13468758529,0,,Season         ,$0.00 
302,1/6/22 13:49,Entry     ,C13468758529,0,,Season         ,$0.00 
303,1/6/22 13:50,Exit      ,C13473115462,0,,Season         ,$0.00 
304,1/6/22 13:51,Front_Ent ,C13473657456,0,,Season         ,$0.00 
305,1/6/22 13:52,Entry     ,C13473657456,0,,Season         ,$0.00 
306,1/6/22 13:53,Front_Ent ,C13472297516,0,,Hourly         ,$0.00 
307,1/6/22 13:53,Front_Ent ,C13471523386,0,,Season         ,$0.00 
308,1/6/22 13:53,Entry     ,C13471523386,0,,Season         ,$0.00 
309,1/6/22 13:55,Exit      ,C13565938745,1.11E+15,,Hourly         ,$1.05 
310,1/6/22 13:56,Front_Ent ,C13473487479,0,,Hourly         ,$0.00 
311,1/6/22 13:59,Front_Ent ,C13396481795,0,,Hourly         ,$0.00 
312,1/6/22 14:00,Exit      ,C13388656658,1.00E+15,,Hourly         ,$0.74 
313,1/6/22 14:01,Front_Ent ,C13474297835,0,,Season         ,$0.00 
314,1/6/22 14:01,Entry     ,C13474297835,0,,Season         ,$0.00 
315,1/6/22 14:01,Front_Ent ,C13471424912,0,,Season         ,$0.00 
316,1/6/22 14:02,Entry     ,C13471424912,0,,Season         ,$0.00 
317,1/6/22 14:03,Front_Ent ,C13473179191,0,,Season         ,$0.00 
318,1/6/22 14:03,Entry     ,C13473179191,0,,Season         ,$0.00 
319,1/6/22 14:05,Front_Ent ,C13471352230,0,,Hourly         ,$0.00 
320,1/6/22 14:05,Exit      ,C13473862674,1.11E+15,,Hourly         ,$1.84 
321,1/6/22 14:05,Entry     ,C13471352230,0,,Hourly         ,$0.00 
322,1/6/22 14:09,Exit      ,C13388714710,1.11E+15,,Hourly         ,$4.40 
323,1/6/22 14:13,Front_Ent ,C13389003905,0,,Hourly         ,$0.00 
324,1/6/22 14:14,Exit      ,C13472405169,0,,Season         ,$0.00 
325,1/6/22 14:20,Front_Ent ,C13472983734,0,,Season         ,$0.00 
326,1/6/22 14:20,Entry     ,C13472983734,0,,Season         ,$0.00 
327,1/6/22 14:28,Exit      ,C13388909344,1.11E+15,,Hourly         ,$5.56 
328,1/6/22 14:28,Exit      ,C13471279991,1.11E+15,,               ,$4.45 
329,1/6/22 14:34,Front_Ent ,C13468617075,0,,Hourly         ,$0.00 
330,1/6/22 14:35,Front_Ent ,C13388667423,0,,Hourly         ,$0.00 
331,1/6/22 14:39,Exit      ,C13469780792,1.11E+15,,Hourly         ,$9.35 
332,1/6/22 14:41,Front_Ent ,C13475657602,0,,Hourly         ,$0.00 
333,1/6/22 14:42,Front_Ent ,C13474969600,0,,Hourly         ,$0.00 
334,1/6/22 14:42,Entry     ,C13474969600,0,,Hourly         ,$0.00 
335,1/6/22 14:43,Exit      ,C13471847790,0,,Season         ,$0.00 
336,1/6/22 14:44,Front_Ent ,C13469182989,0,,Season         ,$0.00 
337,1/6/22 14:44,Entry     ,C13469182989,0,,Season         ,$0.00 
338,1/6/22 14:44,Front_Ent ,C13474052613,0,,Hourly         ,$0.00 
339,1/6/22 14:44,Exit      ,C13475294014,1.11E+15,,Hourly         ,$2.90 
340,1/6/22 14:44,Entry     ,C13474052613,0,,Hourly         ,$0.00 
341,1/6/22 14:54,Front_Ent ,C13856758932,0,,Hourly         ,$0.00 
