S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
0,1/6/22 00:55,Front_Ent ,C13474180998,0,,Hourly         ,$0.00 
1,1/6/22 01:57,Exit      ,C13473045469,1.00E+15,,Hourly         ,$8.90 
2,1/6/22 02:52,Front_Ent ,C13388646029,0,,Hourly         ,$0.00 
3,1/6/22 06:31,Front_Ent ,C13471663075,0,,Season         ,$0.00 
4,1/6/22 06:32,Entry     ,C13471663075,0,,Season         ,$0.00 
5,1/6/22 06:43,Front_Ent ,C13388682699,0,,Hourly         ,$0.00 
6,1/6/22 06:43,Entry     ,C13388682699,0,,Hourly         ,$0.00 
7,1/6/22 06:45,Front_Ent ,C13565920914,0,,Hourly         ,$0.00 
8,1/6/22 06:45,Entry     ,C13565920914,0,,Hourly         ,$0.00 
9,1/6/22 07:01,Front_Ent ,C13472905803,0,,Season         ,$0.00 
10,1/6/22 07:01,Entry     ,C13472905803,0,,Season         ,$0.00 
11,1/6/22 07:15,Front_Ent ,C13466210869,0,,Season         ,$0.00 
12,1/6/22 07:15,Entry     ,C13466210869,0,,Season         ,$0.00 
13,1/6/22 07:24,Front_Ent ,C13565702867,0,,Season         ,$0.00 
14,1/6/22 07:24,Entry     ,C13565702867,0,,Season         ,$0.00 
15,1/6/22 07:26,Exit      ,C13388682699,1.11E+15,,Hourly         ,$1.76 
16,1/6/22 07:38,Exit      ,C13565920914,1.11E+15,,Hourly         ,$2.16 
17,1/6/22 07:43,Front_Ent ,C13388365770,0,,Hourly         ,$0.00 
18,1/6/22 07:43,Entry     ,C13388365770,0,,Hourly         ,$0.00 
19,1/6/22 07:46,Front_Ent ,C13475592426,0,,Season         ,$0.00 
20,1/6/22 07:46,Entry     ,C13475592426,0,,Season         ,$0.00 
21,1/6/22 07:51,Exit      ,C13388365770,0,,Hourly         ,$0.00 
22,1/6/22 07:52,Front_Ent ,C13472663519,0,,Season         ,$0.00 
23,1/6/22 07:53,Entry     ,C13472663519,0,,Season         ,$0.00 
24,1/6/22 08:04,Entry     ,C13059808448,0,,Season         ,$0.00 
25,1/6/22 08:04,Front_Ent ,C13566119683,0,,Season         ,$0.00 
26,1/6/22 08:05,Entry     ,C13566119683,0,,Season         ,$0.00 
27,1/6/22 08:07,Front_Ent ,C13565755371,0,,Season         ,$0.00 
28,1/6/22 08:07,Entry     ,C13565755371,0,,Season         ,$0.00 
29,1/6/22 08:08,Front_Ent ,C13474221747,0,,Hourly         ,$0.00 
30,1/6/22 08:08,Entry     ,C13474221747,0,,Hourly         ,$0.00 
31,1/6/22 08:08,Front_Ent ,C13470168117,0,,Season         ,$0.00 
32,1/6/22 08:09,Entry     ,C13470168117,0,,Season         ,$0.00 
33,1/6/22 08:11,Front_Ent ,C13471299455,0,,Season         ,$0.00 
34,1/6/22 08:11,Front_Ent ,C13565758101,0,,Season         ,$0.00 
35,1/6/22 08:11,Entry     ,C13471299455,0,,Season         ,$0.00 
36,1/6/22 08:11,Front_Ent ,C13470921835,0,,Season         ,$0.00 
37,1/6/22 08:11,Entry     ,C13565758101,0,,Season         ,$0.00 
38,1/6/22 08:11,Entry     ,C13470921835,0,,Season         ,$0.00 
39,1/6/22 08:13,Front_Ent ,C13474450106,0,,Hourly         ,$0.00 
40,1/6/22 08:13,Entry     ,C13474450106,0,,Hourly         ,$0.00 
41,1/6/22 08:13,Front_Ent ,C13471470446,0,,Hourly         ,$0.00 
42,1/6/22 08:15,Front_Ent ,C13469795041,0,,Season         ,$0.00 
43,1/6/22 08:15,Entry     ,C13469795041,0,,Season         ,$0.00 
44,1/6/22 08:15,Front_Ent ,C13468907756,0,,Season         ,$0.00 
45,1/6/22 08:15,Entry     ,C13468907756,0,,Season         ,$0.00 
46,1/6/22 08:16,Front_Ent ,C13474871862,0,,Season         ,$0.00 
47,1/6/22 08:16,Entry     ,C13474871862,0,,Season         ,$0.00 
48,1/6/22 08:18,Front_Ent ,C13566161213,0,,Hourly         ,$0.00 
49,1/6/22 08:18,Front_Ent ,C13471847790,0,,Season         ,$0.00 
50,1/6/22 08:19,Entry     ,C13471847790,0,,Season         ,$0.00 
51,1/6/22 08:20,Front_Ent ,C13472715022,0,,Hourly         ,$0.00 
52,1/6/22 08:21,Front_Ent ,C13473517676,0,,Hourly         ,$0.00 
53,1/6/22 08:21,Front_Ent ,C13565831856,0,,Season         ,$0.00 
54,1/6/22 08:21,Entry     ,C13473517676,0,,Hourly         ,$0.00 
55,1/6/22 08:22,Entry     ,C13565831856,0,,Season         ,$0.00 
56,1/6/22 08:25,Front_Ent ,C13473203991,0,,Season         ,$0.00 
57,1/6/22 08:26,Entry     ,C13473203991,0,,Season         ,$0.00 
58,1/6/22 08:27,Front_Ent ,C13566270262,0,,Season         ,$0.00 
59,1/6/22 08:27,Entry     ,C13566270262,0,,Season         ,$0.00 
60,1/6/22 08:30,Front_Ent ,C12365714379,0,,Hourly         ,$0.00 
61,1/6/22 08:30,Entry     ,C12365714379,0,,               ,$0.00 
62,1/6/22 08:31,Front_Ent ,C13565784104,0,,Season         ,$0.00 
63,1/6/22 08:31,Front_Ent ,C13473115462,0,,Season         ,$0.00 
64,1/6/22 08:31,Entry     ,C13565784104,0,,Season         ,$0.00 
65,1/6/22 08:31,Entry     ,C13473115462,0,,Season         ,$0.00 
66,1/6/22 08:37,Front_Ent ,C13474297835,0,,Season         ,$0.00 
67,1/6/22 08:37,Entry     ,C13474297835,0,,Season         ,$0.00 
68,1/6/22 08:42,Front_Ent ,C13475610600,0,,Hourly         ,$0.00 
69,1/6/22 08:42,Front_Ent ,C13472402899,0,,Season         ,$0.00 
70,1/6/22 08:42,Entry     ,C13472402899,0,,Season         ,$0.00 
71,1/6/22 08:42,Front_Ent ,C13470347555,0,,Season         ,$0.00 
72,1/6/22 08:42,Entry     ,C13470347555,0,,Season         ,$0.00 
73,1/6/22 08:44,Front_Ent ,C13470957551,0,,Season         ,$0.00 
74,1/6/22 08:44,Entry     ,C13470957551,0,,Season         ,$0.00 
75,1/6/22 08:45,Entry     ,C13060606165,0,,Season         ,$0.00 
