S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
243,2/6/22 11:25,Entry     ,C13565748110,0,,Hourly         ,$0.00 
244,2/6/22 11:27,Entry     ,C13473743880,0,,Hourly         ,$0.00 
245,2/6/22 11:40,Exit      ,C13472759748,1.11E+15,,Hourly         ,$1.95 
246,2/6/22 11:40,Entry     ,C13566204690,0,,Hourly         ,$0.00 
247,2/6/22 11:41,Entry     ,C13467591194,0,,Hourly         ,$0.00 
248,2/6/22 11:43,Entry     ,C13471820434,0,,Hourly         ,$0.00 
249,2/6/22 11:47,Entry     ,C13565929355,0,,Hourly         ,$0.00 
250,2/6/22 11:50,Exit      ,C13566568386,1.11E+15,,Hourly         ,$1.40 
251,2/6/22 11:59,Entry     ,C13467427368,0,,Hourly         ,$0.00 
252,2/6/22 12:10,Entry     ,C13565808591,0,,Season         ,$0.00 
253,2/6/22 12:17,Exit      ,C13565903053,0,,Season         ,$0.00 
254,2/6/22 12:21,Exit      ,C13474437302,0,,Season         ,$0.00 
255,2/6/22 12:23,Exit      ,C13471054099,0,,Season         ,$0.00 
256,2/6/22 12:27,Exit      ,C13470818099,0,,Season         ,$0.00 
257,2/6/22 12:31,Entry     ,C13473985482,0,,Season         ,$0.00 
258,2/6/22 12:50,Entry     ,C13896009471,0,,Hourly         ,$0.00 
259,2/6/22 12:56,Exit      ,C13565759760,1.11E+15,,Hourly         ,$5.89 
260,2/6/22 12:59,Exit      ,C13474995026,1.11E+15,,Hourly         ,$11.88 
261,2/6/22 13:18,Entry     ,C13473880953,0,,Season         ,$0.00 
262,2/6/22 13:23,Exit      ,C13473985482,0,,Season         ,$0.00 
263,2/6/22 13:31,Exit      ,C13473532812,1.11E+15,,Hourly         ,$9.20 
264,2/6/22 13:40,Entry     ,C13472444101,0,,Hourly         ,$0.00 
265,2/6/22 13:43,Entry     ,C13473827115,0,,Hourly         ,$0.00 
266,2/6/22 13:49,Entry     ,C13475514638,0,,Season         ,$0.00 
267,2/6/22 13:54,Entry     ,C13474702176,0,,Hourly         ,$0.00 
268,2/6/22 13:57,Entry     ,C13475173987,0,,Hourly         ,$0.00 
269,2/6/22 14:05,Entry     ,C13474437302,0,,Season         ,$0.00 
270,2/6/22 14:09,Exit      ,C13472167175,1.11E+15,,Hourly         ,$8.50 
271,2/6/22 14:10,Exit      ,C13472444101,1.11E+15,,Hourly         ,$1.44 
272,2/6/22 14:17,Exit      ,C13474503499,0,,Season         ,$0.00 
273,2/6/22 14:23,Exit      ,C13467427368,1.11E+15,,Hourly         ,$7.01 
274,2/6/22 14:26,Exit      ,C13896009471,1.11E+15,,Hourly         ,$4.58 
275,2/6/22 14:28,Exit      ,C13565808591,0,,Season         ,$0.00 
276,2/6/22 14:35,Exit      ,C13566204690,1.11E+15,,Hourly         ,$8.44 
277,2/6/22 14:41,Exit      ,C13473743880,1.11E+15,,Hourly         ,$9.33 
278,2/6/22 14:41,Exit      ,C13467591194,1.11E+15,,Hourly         ,$8.63 
279,2/6/22 14:44,Exit      ,C13565929355,1.11E+15,,Hourly         ,$8.45 
280,2/6/22 14:47,Entry     ,C13474171182,0,,Hourly         ,$0.00 
281,2/6/22 15:09,Exit      ,C13475173987,1.11E+15,,Hourly         ,$2.95 
282,2/6/22 15:25,Exit      ,C13473132573,0,,Season         ,$0.00 
283,2/6/22 15:30,Exit      ,C13471820434,1.11E+15,,Hourly         ,$10.49 
284,2/6/22 15:30,Exit      ,C13565748110,1.00E+15,,Hourly         ,$11.39 
285,2/6/22 15:40,Entry     ,C13471491943,0,,Hourly         ,$0.00 
286,2/6/22 16:08,Exit      ,C13471491943,1.11E+15,,Hourly         ,$1.12 
287,2/6/22 16:08,Exit      ,C13472983023,0,,Season         ,$0.00 
288,2/6/22 16:13,Exit      ,C13474702176,1.11E+15,,Hourly         ,$5.66 
289,2/6/22 16:14,Exit      ,C13474171182,1.11E+15,,Hourly         ,$3.52 
290,2/6/22 16:14,Entry     ,C13473132573,0,,Season         ,$0.00 
291,2/6/22 16:23,Exit      ,C13472559297,0,,Season         ,$0.00 
292,2/6/22 16:24,Entry     ,C13475494664,0,,Hourly         ,$0.00 
293,2/6/22 16:25,Entry     ,C13565746734,0,,Hourly         ,$0.00 
294,2/6/22 16:35,Exit      ,C13388260209,1.00E+15,,Hourly         ,$16.36 
295,2/6/22 16:36,Exit      ,C13474437302,0,,Season         ,$0.00 
296,2/6/22 16:55,Exit      ,C13473880953,0,,Season         ,$0.00 
297,2/6/22 17:02,Entry     ,C13471706725,0,,Hourly         ,$0.00 
298,2/6/22 17:13,Exit      ,C13473827115,1.11E+15,,Hourly         ,$8.61 
299,2/6/22 17:16,Exit      ,C13473816851,0,,Season         ,$0.00 
300,2/6/22 17:19,Exit      ,C13566121918,0,,Season         ,$0.00 
301,2/6/22 17:20,Exit      ,C13470688219,0,,Season         ,$0.00 
302,2/6/22 17:20,Exit      ,C13474601064,0,,Season         ,$0.00 
303,2/6/22 17:35,Exit      ,C13475529561,0,,Season         ,$0.00 
304,2/6/22 17:38,Exit      ,C13474691731,0,,Use Ticket     ,$0.00 
305,2/6/22 17:40,Exit      ,C13374832221,0,,Use Ticket     ,$0.00 
306,2/6/22 17:41,Entry     ,C13471279663,0,,Hourly         ,$0.00 
307,2/6/22 17:46,Exit      ,C13565746734,1.11E+15,,Hourly         ,$3.24 
308,2/6/22 17:47,Exit      ,C13475494664,1.11E+15,,Hourly         ,$3.32 
309,2/6/22 17:47,Exit      ,C13474772119,1.11E+15,,Hourly         ,$21.16 
310,2/6/22 17:49,Exit      ,C13472504781,0,,Use Ticket     ,$0.00 
311,2/6/22 17:49,Exit      ,C13471706725,1.11E+15,,Hourly         ,$1.92 
312,2/6/22 17:49,Exit      ,C13471279663,0,,Hourly         ,$0.00 
313,2/6/22 17:53,Exit      ,C13472990276,0,,Season         ,$0.00 
314,2/6/22 17:54,Exit      ,C13566352539,0,,Season         ,$0.00 
315,2/6/22 17:56,Exit      ,C13474017112,0,,Season         ,$0.00 
316,2/6/22 17:58,Exit      ,C13565788362,0,,Season         ,$0.00 
317,2/6/22 18:03,Exit      ,C13471773724,0,,Use Ticket     ,$0.00 
318,2/6/22 18:06,Entry     ,C13474398718,0,,Hourly         ,$0.00 
319,2/6/22 18:08,Exit      ,C13566091244,0,,Season         ,$0.00 
320,2/6/22 18:09,Exit      ,C13472907504,0,,Season         ,$0.00 
321,2/6/22 18:13,Exit      ,C13566293767,0,,Season         ,$0.00 
322,2/6/22 18:14,Exit      ,C13473210056,0,,Season         ,$0.00 
323,2/6/22 18:19,Exit      ,C13472444959,0,,Season         ,$0.00 
324,2/6/22 18:26,Exit      ,C13474821932,0,,Season         ,$0.00 
325,2/6/22 18:26,Exit      ,C13472456098,0,,Season         ,$0.00 
326,2/6/22 18:27,Exit      ,C13474648173,0,,Season         ,$0.00 
327,2/6/22 18:37,Exit      ,C13469870746,0,,Use Ticket     ,$0.00 
328,2/6/22 18:38,Entry     ,C13471704975,0,,Hourly         ,$0.00 
329,2/6/22 18:40,Exit      ,C13472450116,0,,Use Ticket     ,$0.00 
330,2/6/22 18:41,Entry     ,C13471286685,0,,Hourly         ,$0.00 
331,2/6/22 18:42,Exit      ,C13475514638,0,,Season         ,$0.00 
