S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
0,1/6/22 07:39,Entry     ,C13470143226,0,,Hourly         ,$0.00 
1,1/6/22 07:58,Entry     ,C13471481483,0,,Season         ,$0.00 
2,1/6/22 08:09,Entry     ,C13473319492,0,,Hourly         ,$0.00 
3,1/6/22 08:10,Exit      ,C13473319492,0,,Hourly         ,$0.00 
4,1/6/22 09:11,Entry     ,C13471350002,0,,               ,$0.00 
5,1/6/22 09:38,Entry     ,C13470689515,0,,Season         ,$0.00 
6,1/6/22 09:40,Entry     ,C13388771413,0,,Hourly         ,$0.00 
7,1/6/22 09:52,Entry     ,C13472532988,0,,Hourly         ,$0.00 
8,1/6/22 09:57,Entry     ,C13566289054,0,,Season         ,$0.00 
9,1/6/22 10:07,Entry     ,C13472146468,0,,Hourly         ,$0.00 
10,1/6/22 10:15,Entry     ,C13388101075,0,,Hourly         ,$0.00 
11,1/6/22 10:18,Exit      ,C13388101075,0,,Hourly         ,$0.00 
12,1/6/22 10:23,Entry     ,C13472687211,0,,Hourly         ,$0.00 
13,1/6/22 10:33,Entry     ,C13388714710,0,,Hourly         ,$0.00 
14,1/6/22 10:33,Entry     ,C13565984465,0,,Hourly         ,$0.00 
15,1/6/22 10:33,Exit      ,C13565984465,0,,Hourly         ,$0.00 
16,1/6/22 11:00,Entry     ,C13565806669,0,,               ,$0.00 
17,1/6/22 11:06,Exit      ,C13472146468,1.11E+15,,Hourly         ,$2.47 
18,1/6/22 11:21,Exit      ,C13388714710,1.11E+15,,Hourly         ,$2.18 
19,1/6/22 11:50,Entry     ,C13470791699,0,,Hourly         ,$0.00 
20,1/6/22 12:04,Exit      ,C13565806669,1.11E+15,,               ,$2.24 
21,1/6/22 12:08,Exit      ,C13388771413,1.11E+15,,Hourly         ,$6.65 
22,1/6/22 12:13,Entry     ,C13471459918,0,,Hourly         ,$0.00 
23,1/6/22 12:14,Exit      ,C13471459918,0,,Hourly         ,$0.00 
24,1/6/22 12:15,Entry     ,C13566516491,0,,Hourly         ,$0.00 
25,1/6/22 12:31,Exit      ,C13472532988,1.11E+15,,Hourly         ,$7.32 
26,1/6/22 12:46,Exit      ,C13470143226,1.11E+15,,Hourly         ,$13.39 
27,1/6/22 13:03,Entry     ,C13474709577,0,,Hourly         ,$0.00 
28,1/6/22 13:03,Entry     ,C13475258960,0,,Hourly         ,$0.00 
29,1/6/22 13:03,Exit      ,C13475258960,0,,Hourly         ,$0.00 
30,1/6/22 13:16,Entry     ,C13565806429,0,,Season         ,$0.00 
31,1/6/22 13:44,Entry     ,C13472262008,0,,Hourly         ,$0.00 
